relationship_id,place_id,group_id,role,ownership_percentage,valid_from,valid_to,status,source_url,source_type,last_verified_at,confidence,public_note
rel-silverdale-mall-owner,place-nz-auckland-silverdale-mall,group-millwater-park,OWNER,,,,ACTIVE,https://silverdalemall.co.nz/,Official property website,2026-09-02,High,Public centre information identifies the property owner
rel-silverdale-mall-manager,place-nz-auckland-silverdale-mall,group-barfoot-commercial,MANAGER,,,,ACTIVE,https://silverdalemall.co.nz/,Official property website,2026-09-02,High,Public centre information identifies the commercial manager
rel-silverdale-mall-external-leasing,place-nz-auckland-silverdale-mall,group-barfoot-commercial,EXTERNAL_LEASING_AGENT,,,,ACTIVE,https://silverdalemall.co.nz/centre-info/,Official current property leasing page,2026-09-02,High,Current centre information identifies Barfoot and Thompson Commercial as the retail sales and leasing agency
rel-silverdale-centre-owner,place-nz-auckland-silverdale-centre,group-stride,OWNER,,,,ACTIVE,https://silverdalecentre.co.nz/,Official property website,2026-09-02,High,Public centre information identifies Stride Property
rel-silverdale-centre-manager,place-nz-auckland-silverdale-centre,group-stride,MANAGER,,,,ACTIVE,https://silverdalecentre.co.nz/,Official property website,2026-09-02,High,Public centre information identifies Stride Property
rel-retired-stockland-townsville-manager,place-au-qld-stockland-townsville,group-stockland,MANAGER,,1987-01-01,2023-12-20,RETIRED,https://www.stockland.com.au/globalassets/corporate/investor-centre/fy24/fy24/stockland-annual-report-fy24.pdf,Official annual report,2026-09-02,High,Stockland reports the Townsville disposal and the current Haben portfolio supersedes the legacy centre name
rel-retired-stockland-riverton-manager,place-au-wa-riverton-stockland,group-stockland,MANAGER,,,2023-03-03,RETIRED,https://www.stockland.com.au/globalassets/corporate/investor-centre/fy24/fy24/stockland-annual-report-fy24.pdf,Official annual report,2026-09-02,High,Stockland reports that Riverton was sold on 3 March 2023 and the legacy centre name is retained only as an alias
rel-chadstone-manager,place-au-vic-chadstone-shopping-centre,group-vicinity,MANAGER,,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/chadstone,Official owner portfolio,2025-06-30,High,Official Vicinity portfolio identifies Chadstone
rel-emporium-manager,place-au-unknown-emporium,group-vicinity,MANAGER,,,,ACTIVE,https://www.emporiummelbourne.com.au/,Official property website,2026-09-01,Medium,Official property website identifies centre management
rel-westpoint-hines-co-owner,place-au-nsw-westpoint-shopping-centre,group-hines,CO_OWNER,,2025-01-24,,ACTIVE,https://haben.com.au/news/hines-acquires-first-retail-asset-in-asia-pacific-in-partnership-with-haben,Official acquisition announcement,2026-09-02,High,Haben confirms Hines acquired Westpoint in partnership with Haben; no ownership percentage is asserted
rel-bankstown-jy-co-owner,place-au-nsw-bankstown-central,group-jy-group,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/bankstown-central,Official current property profile,2026-09-02,High,Vicinity identifies JY Group as its 50 percent co-owner
rel-mandurah-ifm-co-owner,place-au-wa-mandurah-forum,group-ifm-real-estate-core-fund,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/mandurah-forum,Official current property profile,2026-09-02,High,Vicinity identifies IFM Real Estate Core Fund as its 50 percent co-owner
rel-cranbourne-ip-generation-co-owner,place-au-vic-cranbourne-park-shopping-centre-sp107,group-ip-generation,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/cranbourne-park,Official current property profile,2026-09-02,High,Vicinity identifies IP Generation as its 50 percent co-owner
rel-lakeside-appfr-co-owner,place-au-wa-joondalup-lakeside-s-city,group-appf-retail,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/lakeside-joondalup,Official current property profile,2026-09-02,High,Vicinity identifies Lendlease APPF Retail as its 50 percent co-owner; the announced August 2026 sale had not been represented as settled at verification
rel-rockingham-ip-generation-co-owner,place-au-wa-rockingham-centre,group-ip-generation,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/rockingham-centre,Official current property profile,2026-09-02,High,Vicinity identifies IP Generation as its 50 percent co-owner
rel-grand-plaza-eg-co-owner,place-au-qld-browns-plains-grand-plaza-shopping-centre,group-eg-funds-management,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/grand-plaza,Official current property profile,2026-09-02,High,Vicinity identifies EG Funds Management as its 50 percent co-owner
rel-victoria-gardens-salta-co-owner,place-au-vic-victoria-gardens-shopping-centre,group-salta-properties,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/victoria-gardens-shopping-centre,Official current property profile,2026-09-02,High,Vicinity identifies Salta Properties as its 50 percent co-owner
rel-sunshine-marketplace-arkadia-co-owner,place-au-vic-sunshine-marketplace,group-arkadia,CO_OWNER,50,,,ACTIVE,https://www.vicinity.com.au/portfolio/our-properties/sunshine-marketplace,Official current property profile,2026-09-02,High,Vicinity identifies Arkadia as its 50 percent co-owner
rel-stockland-fy26-green-hills-owner,place-au-nsw-stockland-green-hills-shopping-centre,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-green-hills-leasing,place-au-nsw-stockland-green-hills-shopping-centre,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-burleigh-owner,place-au-qld-burleigh-heads-stockland,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-burleigh-leasing,place-au-qld-burleigh-heads-stockland,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-forster-owner,place-au-nsw-forster-stockland,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-forster-leasing,place-au-nsw-forster-stockland,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-shellharbour-owner,place-au-nsw-shellharbour-stockland,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-shellharbour-leasing,place-au-nsw-shellharbour-stockland,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-merrylands-owner,place-au-nsw-stockland-merrylands,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-merrylands-leasing,place-au-nsw-stockland-merrylands,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-rockhampton-owner,place-au-qld-stockland-rockhampton-shopping-centre,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-rockhampton-leasing,place-au-qld-stockland-rockhampton-shopping-centre,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-wetherill-owner,place-au-nsw-stockland-wetherill-park,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-wetherill-leasing,place-au-nsw-stockland-wetherill-park,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-stockland-fy26-hervey-bay-owner,place-au-qld-stocklands-hervey-bay,group-stockland,OWNER,100,,,ACTIVE,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,Official current property portfolio,2026-09-02,High,Stockland reports full ownership at 30 June 2026
rel-stockland-hervey-bay-leasing,place-au-qld-stocklands-hervey-bay,group-stockland,LEASING_CONTROLLER,,,,ACTIVE,https://forms.stockland.com.au/rest/forms/view/4646191,Official retail leasing channel,2026-09-02,High,Stockland accepts direct retail leasing enquiries for its current centre portfolio
rel-region-cooleman-leasing,place-au-act-cooleman-court,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-lavington-leasing,place-au-nsw-lavington-square,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-sturt-leasing,place-au-unknown-sturt-mall,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-ulladulla-leasing,place-au-nsw-ulladulla-shopping-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-central-highlands-leasing,place-au-unknown-central-highlands-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-north-shore-leasing,place-au-unknown-north-shore-village,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-sugarworld-leasing,place-au-unknown-sugarworld-shopping-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-murray-bridge-leasing,place-au-sa-murray-bridge-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-kingston-leasing,place-au-tas-kingston-plaza,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-meadow-mews-leasing,place-au-tas-meadow-mews-plaza,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-new-town-leasing,place-au-tas-new-town-plaza,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-bentons-leasing,place-au-unknown-bentons-square,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-delacombe-leasing,place-au-unknown-delacombe-town-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-kallo-leasing,place-au-unknown-kallo-town-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-lilydale-leasing,place-au-vic-lilydale-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-pakenham-leasing,place-au-vic-pakenham-central-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-gateway-leasing,place-au-unknown-the-gateway-shopping-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-wonthaggi-leasing,place-au-unknown-wonthaggi-plaza,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-kwinana-leasing,place-au-wa-kwinana-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-stirlings-leasing,place-au-wa-stirlings-central,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-warnbro-leasing,place-au-wa-warnbro-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-raymond-terrace-leasing,place-au-nsw-raymond-terrace-marketplace,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-marketown-east-leasing,place-au-nsw-marketown-shopping-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/leasing/,Official portfolio leasing channel,2026-09-02,High,Region Group operates an in-house leasing function across its current portfolio
rel-region-jimboomba-leasing,place-au-unknown-jimboomba-shopping-centre,group-region,LEASING_CONTROLLER,,,,ACTIVE,https://regiongroup.au/property/jimboomba/?full=true,Official current property leasing profile,2026-09-02,High,The official property profile publishes Region Group leasing details for this centre
rel-mid-valley-owner,place-au-vic-mid-valley-shopping-centre,group-juilliard,OWNER,,,,ACTIVE,https://www.midvalleyshoppingcentre.com.au/wp-content/uploads/2026/01/cml-application-form-2026-text-boxes.pdf,Official current centre leasing document,2026-09-02,High,The current centre document states that Mid Valley is owned and managed by Juilliard
rel-mid-valley-manager,place-au-vic-mid-valley-shopping-centre,group-juilliard,MANAGER,,,,ACTIVE,https://www.midvalleyshoppingcentre.com.au/wp-content/uploads/2026/01/cml-application-form-2026-text-boxes.pdf,Official current centre leasing document,2026-09-02,High,The current centre document states that Mid Valley is owned and managed by Juilliard
rel-mid-valley-leasing,place-au-vic-mid-valley-shopping-centre,group-juilliard,LEASING_CONTROLLER,,,,ACTIVE,https://www.midvalleyshoppingcentre.com.au/leasing/,Official current centre leasing page,2026-09-02,High,The current permanent leasing channel is handled through the Juilliard centre manager
