retailer,store_id,affiliations,name,status,country,state,suburb,postcode,full_address,phone,latitude,longitude,official_url,services,audiology,venue_name,venue_id,location_type,classification_confidence,classification_basis,store_area_sqm,area_measure,area_source,area_date,area_confidence,source_url,fetched_at
Independent / Other optical,independent-other-optical-osm-au-node-2161974913,,Arcidiacono,Mapped,Australia,ACT,,,Australia,,-35.279148,149.131408,https://www.openstreetmap.org/node/2161974913,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/2161974913,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-11974077342,,Bupa Optical,Mapped,Australia,ACT,,,"Benjamin Way, Australia",,-35.2380552,149.0669499,https://www.openstreetmap.org/node/11974077342,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11974077342,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-8515803402,,Eye Candy,Mapped,Australia,ACT,,,Australia,,-35.2725291,149.1331551,https://www.openstreetmap.org/node/8515803402,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/8515803402,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-2161972681,,MacKinley Optical,Mapped,Australia,ACT,,,Australia,,-35.2794781,149.131668,https://www.openstreetmap.org/node/2161972681,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/2161972681,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-1896332017,,Optorica,Mapped,Australia,ACT,,,Australia,,-35.3397802,149.0521684,https://www.openstreetmap.org/node/1896332017,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/1896332017,2026-09-01T07:48:20.085579Z
Bailey Nelson,bailey-nelson-belconnen,,Bailey Nelson Belconnen,Active,Australia,ACT,Belconnen,2617,"Level 2, Shop 81 Benjamin Way, Belconnen, ACT, 2617",+61251275194,-35.2381903,149.065097,https://baileynelson.com.au/pages/optometrist-belconnen,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.com.au/pages/optometrist-belconnen,2026-09-01T07:42:35+00:00
OPSM,opsm-1221,,OPSM Belconnen,Active,Australia,ACT,Belconnen,2617,"3 Benjamin Way, Belconnen, ACT, 2617",(02) 6251 4245,-35.23839,149.06656,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
George & Matilda,george-matilda-17200,,Andrew Watkins Optometrist,Active,Australia,ACT,Canberra,2606,"CG5 City Walk, Canberra, ACT, 2606, Australia",02 6247 7705,-35.2804061,149.1325496,https://georgeandmatilda.com.au/stores/optometrist-canberra-act-andrew-watkins-optometrist/,,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://georgeandmatilda.com.au/find-a-store/,2026-09-02T12:40:25.820359+00:00
OPSM,opsm-1029,,OPSM Canberra,Active,Australia,ACT,Canberra,2601,"Bunda St, Canberra, ACT, 2601",(02) 6249 7344,-35.28001,149.13431,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Oscar Wylee,oscar-wylee-73,,South Point Tuggeranong,Active,Australia,ACT,Greenway,2900,"South Point Tuggeranong, Anketell St. &, Reed St N, Greenway ACT 2900",02 6193 9431,-35.416167,149.068419,https://www.oscarwylee.com.au/locations/locations/optometrist-tuggeranong.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.oscarwylee.com.au/locations/locations/optometrist-tuggeranong.html,2026-09-01T07:43:15+00:00
Specsavers,specsavers-3583,,Gungahlin,Active,Australia,ACT,Gungahlin,2912,"Shop 17-19, 33 Hibberson Street, Gungahlin, ACT, 2912",(02) 6171 7414,-35.185867,149.13376,https://www.specsavers.com.au/stores/gungahlin,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/gungahlin,2026-09-01T23:21:29.969Z
OPSM,opsm-2265,,OPSM Weston,Active,Australia,ACT,Weston Creek,2611,"Brierly St, Weston Creek, ACT, 2611",(02) 6288 0599,-35.34148,149.05272,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Specsavers,specsavers-3657,,Weston Creek,Active,Australia,ACT,Weston Creek,2611,"Shop 007, Cooleman Court, Brierly Street, Weston Creek, ACT, 2611",(02) 6106 9227,-35.34154,149.0528,https://www.specsavers.com.au/stores/westoncreek,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/westoncreek,2026-09-01T23:21:29.969Z
OPSM,opsm-1226,,OPSM Woden,Active,Australia,ACT,Woden Valley,2606,"Keltie St, Woden Valley, ACT, 2606",(02) 6282 1043,-35.34644,149.0855,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Independent / Other optical,independent-other-optical-osm-ne-node-7009136867,,Campbell And Campbell,Mapped,New Zealand,Auckland,,,New Zealand,+64 9 846 0775,-36.8701487,174.7108781,https://campbelloptom.co.nz,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/7009136867,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-6923678892,,Cassidy Eyecare,Mapped,New Zealand,Auckland,,,New Zealand,,-36.8436794,174.6519488,https://www.openstreetmap.org/node/6923678892,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/6923678892,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-ne-node-6169401087,,Crenshaw Opticians and Optometrists,Mapped,New Zealand,Auckland,,,New Zealand,,-36.7892987,174.7730497,https://www.openstreetmap.org/node/6169401087,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/6169401087,2026-09-01T07:48:20.085579Z
