candidate_id,entity_type,proposed_name,country,state,locality,source_name,source_url,discovered_at,review_status,disposition,canonical_id,reviewed_at,evidence_notes
historical-osm-au-node-10164703799,store,Sunglass Hut,Australia,VIC,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/10164703799,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-10235192811,store,Sunglass Hut,Australia,VIC,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/10235192811,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-10272780385,store,Sunglass Hut,Australia,QLD,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/10272780385,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-10566668357,store,Oscar-Wylee,Australia,QLD,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/10566668357,2026-09-01T07:49:27+00:00,Resolved,Duplicate of named network,,2026-09-01T07:49:27+00:00,Excluded from Independent/Other after normalized major-brand matching
historical-osm-au-node-10657495414,store,Sunglass Hut,Australia,TAS,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/10657495414,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11002722550,store,Sunglass Hut,Australia,WA,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11002722550,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11017216485,store,Sunglass Hut,Australia,WA,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11017216485,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11296486466,store,Sunglass Hut,Australia,TAS,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11296486466,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11323033233,store,Sunglass Shack,Australia,WA,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11323033233,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11391375776,store,Sunglass Hut,Australia,WA,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11391375776,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11515612728,store,Sunglass Hut,Australia,ACT,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11515612728,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11817571986,store,Sunglass Hut,Australia,QLD,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11817571986,2026-09-01T07:49:27+00:00,Resolved,Non-comparable business,,2026-09-01T07:49:27+00:00,Excluded by explicit non-comparable retail rule
historical-osm-au-node-11817688821,store,Optique,Australia,QLD,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/11817688821,2026-09-01T07:49:27+00:00,Pending,,,,"No longer returned by the latest OSM query; investigate possible deletion, closure, remap or missed store"
historical-osm-au-node-12175749083,store,Bailey And Nelson,Australia,VIC,,Historical OpenStreetMap shop=optician snapshot,https://www.openstreetmap.org/node/12175749083,2026-09-01T07:49:27+00:00,Resolved,Duplicate of named network,,2026-09-01T07:49:27+00:00,Excluded from Independent/Other after normalized major-brand matching
