retailer,store_id,venue_name,venue_id,location_type,classification_confidence,classification_basis,notes
OPSM,opsm-1321,Castle Towers,nsw-castle-towers,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Specsavers,specsavers-3405,Castle Towers,nsw-castle-towers,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Bailey Nelson,bailey-nelson-castle-towers,Castle Towers,nsw-castle-towers,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
OPSM,opsm-1213,Macquarie Centre,nsw-macquarie-centre,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Specsavers,specsavers-3359,Macquarie Centre,nsw-macquarie-centre,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Bailey Nelson,bailey-nelson-macquarie,Macquarie Centre,nsw-macquarie-centre,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
OPSM,opsm-1410,Chadstone Shopping Centre,vic-chadstone,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Specsavers,specsavers-3444,Chadstone Shopping Centre,vic-chadstone,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Bailey Nelson,bailey-nelson-chadstone,Chadstone Shopping Centre,vic-chadstone,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
OPSM,opsm-1478,Highpoint Shopping Centre,vic-highpoint,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Specsavers,specsavers-3372,Highpoint Shopping Centre,vic-highpoint,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Bailey Nelson,bailey-nelson-highpoint,Highpoint Shopping Centre,vic-highpoint,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
OPSM,opsm-1442,Westfield Booragoon,wa-westfield-booragoon,Shopping Centre,High,Reviewed official store name and address,Formerly Garden City Booragoon
Specsavers,specsavers-3429,Westfield Booragoon,wa-westfield-booragoon,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
Bailey Nelson,bailey-nelson-booragoon,Westfield Booragoon,wa-westfield-booragoon,Shopping Centre,High,Reviewed official store name and address,Shared reviewed venue
