place_id,canonical_name,aliases,place_type,country,state,locality,postcode,address,latitude,longitude,official_url,coordinate_source_url,last_verified_at,confidence,source_basis,status
place-au-nsw-wallsend-village,Wallsend Village,Stockland Wallsend,Shopping Centre,Australia,NSW,Wallsend,2287,24 Kokera Street,-32.90249,151.66755,https://www.wallsendvillage.com.au/location-parking,https://www.openstreetmap.org/way/31545313,2026-09-02,High,Official centre and owner pages confirm the active venue and address; OpenStreetMap centre geometry supplies the mapped point,Active
place-au-qld-the-station-oxley,The Station Oxley,The Oxley Station,Shopping Centre,Australia,QLD,Oxley,4075,157 Oxley Station Road,-27.55343,152.97483,https://www.thestationoxley.com.au/location-parking,https://www.openstreetmap.org/way/488961568,2026-09-02,High,Official centre and owner pages confirm the active venue and address; OpenStreetMap centre geometry supplies the mapped point,Active
place-au-qld-big-top-shopping-centre,Big Top Shopping Centre,Big Top,Shopping Centre,Australia,QLD,Maroochydore,4558,12-20 Ocean Street,-26.6526814,153.0919187,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/Big-Top-Shopping-Centre,https://maps.app.goo.gl/obK8CBNi8TV71kpj8,2026-09-02,High,Official QIC asset and venue pages confirm the active centre and full address; the official QIC map link supplies the mapped point,Active
place-au-qld-forest-lake-shopping-centre,Forest Lake Shopping Centre,Forest Lake,Shopping Centre,Australia,QLD,Forest Lake,4078,235 Forest Lake Boulevard,-27.625065,152.9686353,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/Forest-Lake-Shopping-Centre,https://maps.app.goo.gl/kJScoNqJZEGm6ta19,2026-09-02,High,Official QIC asset and venue pages confirm the active centre and full address; the official QIC map link supplies the mapped point,Active
place-au-qld-the-village-upper-mount-gravatt,The Village Upper Mount Gravatt,The Village Upper Mt Gravatt|The Village,Shopping Centre,Australia,QLD,Upper Mount Gravatt,4122,1932 Logan Road,-27.5580917,153.0806454,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/The-Village-Upper-Mount-Gravatt,https://maps.app.goo.gl/SKuGcX1CJSEqA2Y88,2026-09-02,High,Official QIC asset and venue pages confirm the active centre and address; the official QIC map link supplies the mapped point,Active
place-au-nsw-pittwater-place,Pittwater Place,,Shopping Centre,Australia,NSW,Mona Vale,2103,10 Park Street,-33.6753518,151.3059946,https://www.qic.com/Investment-Capabilities/Real-Estate/Real-Estate-Assets/Pittwater-Place,https://maps.app.goo.gl/QaCAYqgSSWZC2vtt8,2026-09-02,High,Official QIC asset and venue pages confirm the active neighbourhood centre and full address; the official QIC map link supplies the mapped point,Active
place-au-qld-stockland-baringa-shopping-centre,Stockland Baringa Shopping Centre,Stockland Baringa|Baringa Shopping Centre,Shopping Centre,Australia,QLD,Baringa,4551,1 Edwards Terrace,-26.8093449,153.0828549,https://www.stockland.com.au/globalassets/retail-towncentres/qld/baringa/home-page/leasing-fact-sheets_baringa.pdf,https://maps.app.goo.gl/AcbrspgMySs9UuLS7,2026-09-02,High,Official Stockland centre and current portfolio sources confirm the operating neighbourhood centre and address; the current public map listing supplies the mapped point,Active
place-au-nsw-stockland-piccadilly-shopping-centre,Stockland Piccadilly Shopping Centre,Stockland Piccadilly|Piccadilly Centre|Piccadilly Shopping Centre,Shopping Centre,Australia,NSW,Sydney,2000,210 Pitt Street,-33.871612,151.2088142,https://links.sgx.com/1.0.0/corporate-announcements/OCV00Y9N84LUK0AD/901651_FY26%20Property%20Portfolio.pdf,https://maps.app.goo.gl/3wkUaHzaGjxXK8tx7,2026-09-02,High,Official current Stockland portfolio evidence confirms the active dual-level CBD retail centre and ownership; the current public map listing supplies the address and mapped point,Active
place-au-nsw-stockland-gables,Stockland Gables,Stockland The Gables,Shopping Centre,Australia,NSW,Gables,2765,4 Lakefront Crescent,-33.624111,150.9097585,https://www.stockland.com.au/shopping-centres/centres/stockland-gables,https://maps.app.goo.gl/DeeVqucfjSQQhnXFA,2026-09-02,High,Current official Stockland centre page confirms the centre is open and its full address; the current public map listing supplies the mapped point,Active
place-au-qld-stockland-providence,Stockland Providence,Providence Town Centre,Shopping Centre,Australia,QLD,South Ripley,4306,7004 Barrams Road,-27.698459,152.814971,https://www.stockland.com.au/retail/centres/stockland-providence,https://www.google.com/maps/search/?api=1&query=-27.698459%2C152.814971,2026-09-02,High,Current official Stockland centre profile and current public venue listing confirm the operating Coles-anchored town centre address and mapped point,Active
place-au-wa-stockland-sienna-wood-shopping-centre,Stockland Sienna Wood Shopping Centre,Stockland Sienna Wood|Sienna Wood Shopping Centre,Shopping Centre,Australia,WA,Hilbert,6112,10 Daintree Street,-32.1645242,115.9753769,https://www.stockland.com.au/shopping-centres/centres/stockland-sienna-wood,https://maps.app.goo.gl/fkrXuoJ1ddeNmh8z5,2026-09-02,High,Current official Stockland centre page confirms the centre is open and its full address; the current public map listing supplies the mapped point,Active
place-au-nsw-shellharbour-retail-park,Shellharbour Retail Park,Stockland Shellharbour Retail Park|Stockland Retail Park,Shopping Centre,Australia,NSW,Shellharbour City Centre,2529,5 Range Road,-34.5651642,150.8313787,https://www.stockland.com.au/globalassets/retail-towncentres/nsw/shellharbour/home-page/leasing-fact-sheets_shellharbour-retail-park.pdf,https://www.google.com/maps/search/?api=1&query=5%20Range%20Road%2C%20Shellharbour%20City%20Centre%20NSW%202529,2026-09-02,High,Official Stockland leasing and current portfolio sources identify the distinct operating retail park its tenant plan and public scale; the current mapped address contains the matching large-format tenants and supplies the mapped point,Active
