membership_id,place_id,tenant_id,tenant_name,category,anchor_flag,selection_basis,status,source_url,source_type,verified_at,confidence,source_date
key-westfield-penrith-myer,place-au-nsw-westfield-penrith,tenant-myer,Myer,Department-store anchor,true,Named in current official directory,Active,https://www.westfield.com.au/penrith/browse-stores,Official centre directory,2026-09-03,High
key-broadway-sydney-kmart,place-au-nsw-broadway-shopping-centre,tenant-kmart,Kmart,Department-store anchor,true,Named in the current official centre directory,Active,https://www.broadwaysydney.com.au/stores/,Official centre directory,2026-09-03,High
key-macarthur-central-woolworths,place-au-qld-macarthur-central,tenant-woolworths,Woolworths,Supermarket anchor,true,Named as the centre's supermarket anchor in the current official leasing profile,Active,https://www.macarthurcentral.com.au/leasing/,Official centre leasing profile,2026-09-03,High
key-westfield-mt-gravatt-myer,place-au-qld-mt-gravatt-westfield,tenant-myer,Myer,Department-store anchor,true,Named in the current official Westfield directory,Active,https://www.westfield.com.au/mtgravatt/browse-stores,Official centre directory,2026-09-03,High
key-port-adelaide-plaza-aldi,place-au-sa-port-adelaide-plaza,tenant-aldi,ALDI,Supermarket anchor,true,Named in the current official centre directory,Active,https://www.portadelaideplaza.com.au/stores,Official centre directory,2026-09-03,High
key-claremont-quarter-david-jones,place-au-wa-claremont-quarter,tenant-david-jones,David Jones,Department-store anchor,true,Named in the current official centre directory,Active,https://claremontquarter.com.au/stores/,Official centre directory,2026-09-03,High
key-lakeside-joondalup-myer,place-au-wa-joondalup-lakeside-s-city,tenant-myer,Myer,Department-store anchor,true,Named in the current official centre directory,Active,https://www.lakesidejoondalup.com.au/stores-services,Official centre directory,2026-09-03,High
key-westfield-penrith-big-w,place-au-nsw-westfield-penrith,tenant-big-w,BIG W,Department-store anchor,true,Named in current official directory,Active,https://www.westfield.com.au/penrith/browse-stores,Official centre directory,2026-09-03,High
key-westfield-penrith-coles,place-au-nsw-westfield-penrith,tenant-coles,Coles,Supermarket anchor,true,Named in current official directory,Active,https://www.westfield.com.au/penrith/browse-stores,Official centre directory,2026-09-03,High
key-westfield-penrith-aldi,place-au-nsw-westfield-penrith,tenant-aldi,ALDI,Supermarket anchor,true,Named in current official directory,Active,https://www.westfield.com.au/penrith/browse-stores,Official centre directory,2026-09-03,High
key-westfield-penrith-country-road,place-au-nsw-westfield-penrith,tenant-country-road,Country Road,Premium fashion,false,Named in current official directory,Active,https://www.westfield.com.au/penrith/browse-stores/clothing-and-accessories,Official centre directory,2026-09-03,High
key-westfield-penrith-seed,place-au-nsw-westfield-penrith,tenant-seed-heritage,Seed Heritage,Contemporary fashion,false,Named in current official centre content,Active,https://www.westfield.com.au/penrith/news/38IykT9qgeBL9eNk7i4Ppq/spring-fashion-trends-2026,Official centre content,2026-09-03,High
key-westfield-penrith-mecca,place-au-nsw-westfield-penrith,tenant-mecca,MECCA,Beauty,false,Named in current official centre content,Active,https://www.westfield.com.au/penrith/news/38IykT9qgeBL9eNk7i4Ppq/spring-fashion-trends-2026,Official centre content,2026-09-03,High
key-westfield-penrith-lululemon,place-au-nsw-westfield-penrith,tenant-lululemon,Lululemon,Activewear,false,Named in current official centre content,Active,https://www.westfield.com.au/penrith/news/38IykT9qgeBL9eNk7i4Ppq/spring-fashion-trends-2026,Official centre content,2026-09-03,High
key-westfield-penrith-jd-sports,place-au-nsw-westfield-penrith,tenant-jd-sports,JD Sports,Youth fashion,false,Current official tenant page,Active,https://www.westfield.com.au/penrith/store/4cGF0E9G24UQUWm2EQSyia/jd-sports-penrith,Official tenant page,2026-09-03,High
key-westfield-penrith-apple,place-au-nsw-westfield-penrith,tenant-apple,Apple Store,Technology,false,Current official tenant page,Active,https://www.westfield.com.au/penrith/store/6v90BZruWA8mUSqWw6m8Wi/apple-store,Official tenant page,2026-09-03,High
key-nepean-coles,place-au-nsw-nepean-village,tenant-coles,Coles,Supermarket anchor,true,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-nepean-kmart,place-au-nsw-nepean-village,tenant-kmart,Kmart,Department-store anchor,true,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-nepean-rockwear,place-au-nsw-nepean-village,tenant-rockwear,Rockwear,Activewear,false,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-nepean-house,place-au-nsw-nepean-village,tenant-house,House,Design and lifestyle,false,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-nepean-coffee-club,place-au-nsw-nepean-village,tenant-coffee-club,The Coffee Club,Hospitality,false,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-nepean-cosmo-nails,place-au-nsw-nepean-village,tenant-cosmo-nails,Cosmo Nails and Beauty,Beauty,false,Named in current official directory,Active,https://www.nepeanvillage.com.au/shopping,Official centre directory,2026-09-03,High
key-jimboomba-coles,place-au-unknown-jimboomba-shopping-centre,tenant-coles,Coles,Supermarket anchor,true,Named as the official anchor tenant,Active,https://regiongroup.au/property/jimboomba/?full=true,Official owner profile,2026-09-03,High
key-redland-woolworths,place-au-unknown-redland-bay-shopping-village,tenant-woolworths,Woolworths,Supermarket anchor,true,Named in current official centre map,Active,https://redlandbayshoppingvillage.com.au/centre-map/,Official centre directory,2026-09-03,High
key-redland-merak,place-au-unknown-redland-bay-shopping-village,tenant-merak-cafe,Merak GF Artisan Cafe,Hospitality,false,Named in current official centre map,Active,https://redlandbayshoppingvillage.com.au/centre-map/,Official centre directory,2026-09-03,High
key-redland-sushi-legend,place-au-unknown-redland-bay-shopping-village,tenant-sushi-legend,Sushi Legend,Hospitality,false,Named in current official centre map,Active,https://redlandbayshoppingvillage.com.au/centre-map/,Official centre directory,2026-09-03,High
key-redland-colour-shak,place-au-unknown-redland-bay-shopping-village,tenant-colour-shak,The Colour Shak,Beauty,false,Named in current official centre map,Active,https://redlandbayshoppingvillage.com.au/centre-map/,Official centre directory,2026-09-03,High
key-homeco-penrith-rebel,place-au-unknown-homeco-way-536334280,tenant-rebel,Rebel,Activewear,true,Shown in official asset material,Active,https://www.hmccapital.com.au/investor-centre/pds/,Official portfolio material,2026-09-03,Medium
