source_store_id,source_name,canonical_store_id,canonical_name,retailer,distance_km,name_similarity,postcode_match,phone_match,review_status,reason
independent-other-optical-provision-66541,20/20 Sight & Style,bupa-optical-8139006,Bupa Optical Mornington,Bupa Optical,0.103,0.250,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-34119,6D Vision,bupa-optical-3870864,Bupa Optical Miranda,Bupa Optical,0.151,0.143,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-326334,Design Eyewear,bupa-optical-3870840,Bupa Optical Adelaide,Bupa Optical,0.180,0.296,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-343558,Geelong Eye Health,bupa-optical-17654193,Bupa Optical Geelong,Bupa Optical,0.471,0.467,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-318504,Smart Choice Eyewear,bupa-optical-13626253,Bupa Optical & Hearing Carindale,Bupa Optical,0.117,0.235,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-17858,Total Eyecare Hobart,bupa-optical-13626262,Bupa Optical & Hearing Hobart,Bupa Optical,0.294,0.696,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-16850,Zacharia Naumann Optometry,bupa-optical-3870856,Bupa Optical Wagga Wagga,Bupa Optical,0.208,0.250,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-osm-au-node-1077951944,Dresden Optics,dresden-vision-6,Dresden Vision Fitzroy,Dresden Vision,0.470,0.621,false,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-osm-ne-node-5466762097,Nath Optometrists,matthews-eyecare-nz-55695732,Matthews Eyecare (formerly Harrison and Matthews),Matthews Eyecare,0.362,0.154,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-osm-ne-node-6001914682,Sercombe and Matheson,matthews-eyecare-nz-120000641,Sangster & Matthews,Matthews Eyecare,0.142,0.588,false,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-305042,Fresh Vision Optometrists Maroochydore,optical-warehouse-maroochydore,Optical Warehouse Maroochydore,Optical Warehouse,0.288,0.800,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-17714,HoldfastBay Optometry,optical-by-national-pharmacies-glenelg-5045,Optical by National Pharmacies Glenelg,Optical by National Pharmacies,0.156,0.098,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-osm-au-node-2415680869,Optometrists on O'Connell,optical-by-national-pharmacies-north-adelaide-5006,Optical by National Pharmacies North Adelaide,Optical by National Pharmacies,0.199,0.286,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-17765,See Optometry,optical-by-national-pharmacies-victor-harbor-5211,Optical by National Pharmacies Victor Harbor,Optical by National Pharmacies,0.264,0.051,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-17745,Thomas and Mackay Optometrists,optical-by-national-pharmacies-norwood-5067,Optical by National Pharmacies Norwood,Optical by National Pharmacies,0.275,0.279,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-131737,Victor Eye Centre,optical-by-national-pharmacies-victor-harbor-5211,Optical by National Pharmacies Victor Harbor,Optical by National Pharmacies,0.159,0.302,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-17397,Collins Street Optometrists,the-optical-company-melbourne-cbd-3000,The Optical Company Melbourne CBD,The Optical Company,0.118,0.286,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-38984,Eyes On Queen Street,the-optical-company-melbourne-cbd-3000,The Optical Company Melbourne CBD,The Optical Company,0.376,0.146,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-16787,Lifestyle Optical,the-optical-company-the-galeries-sydney-cbd-2000,The Optical Company The Galeries - Sydney CBD,The Optical Company,0.244,0.333,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-osm-au-node-2322537658,Melbourne Optical Centre,the-optical-company-melbourne-cbd-3000,The Optical Company Melbourne CBD,The Optical Company,0.371,0.595,false,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
independent-other-optical-provision-313886,Sindy Lowinger Optometrist St Ives,the-optical-company-st-ives-2075,The Optical Company St Ives,The Optical Company,0.248,0.541,true,false,Pending,Possible identity overlap; evidence did not meet automatic merge threshold
