alias,canonical_group_id,source_url,last_verified_at
Westfield,group-scentre,https://www.scentregroup.com/our-portfolio,2026-09-02
Scentre,group-scentre,https://www.scentregroup.com/our-portfolio,2026-09-02
Federation Centres,group-vicinity,https://www.vicinity.com.au/about-us,2026-09-02
Vicinity,group-vicinity,https://www.vicinity.com.au/,2026-09-02
GPT,group-gpt,https://www.gpt.com.au/,2026-09-02
QIC,group-qic,https://www.qic.com.au/real-estate,2026-09-02
ISPT Pty Ltd,group-ispt,https://ispt.com.au/,2026-09-02
SCA Property Group,group-region,https://regiongroup.au/,2026-09-02
Region,group-region,https://regiongroup.au/,2026-09-02
Stride Property Limited,group-stride,https://www.strideproperty.co.nz/,2026-09-02
Investore,group-investore,https://www.investoreproperty.co.nz/,2026-09-02
Oyster,group-oyster,https://www.oysterproperty.co.nz/,2026-09-02
Precinct Properties New Zealand,group-precinct-nz,https://www.precinct.co.nz/,2026-09-02
Jones Lang LaSalle,group-jll,https://www.jll.com.au/,2026-09-02
Barfoot & Thompson Commercial,group-barfoot-commercial,https://www.barfoot.co.nz/commercial,2026-09-02
Millwater Park Limited,group-millwater-park,https://silverdalemall.co.nz/,2026-09-02
McConaghy Retail Pty Ltd,group-mcconaghy,https://www.mcconaghygroup.com/,2026-09-02
Hines Australia,group-hines,https://haben.com.au/news/hines-acquires-first-retail-asset-in-asia-pacific-in-partnership-with-haben,2026-09-02
JY,group-jy-group,https://www.thejygroup.com/,2026-09-02
IFM Core Fund,group-ifm-real-estate-core-fund,https://www.vicinity.com.au/portfolio/our-properties/mandurah-forum,2026-09-02
IFM Real Estate Core Fund,group-ifm-real-estate-core-fund,https://www.vicinity.com.au/portfolio/our-properties/mandurah-forum,2026-09-02
Lendlease APPFR,group-appf-retail,https://www.lendlease.com/au/media-centre/media-releases/lendlease-fund-australias-most-sustainable-in-retail/,2026-09-02
Lendlease APPF Retail,group-appf-retail,https://www.lendlease.com/au/media-centre/media-releases/lendlease-fund-australias-most-sustainable-in-retail/,2026-09-02
EG,group-eg-funds-management,https://eg.com.au/,2026-09-02
Salta,group-salta-properties,https://www.salta.com.au/,2026-09-02
Arkadia Property,group-arkadia,https://arkadia.com.au/,2026-09-02
DWPF,group-dexus-wholesale-property-fund,https://www.dexus.com/investing/funds/unlisted/dexus-wholesale-property-fund-dwpf.html,2026-09-02
UniSuper Limited,group-unisuper,https://www.unisuper.com.au/about-us/investments,2026-09-02
Perron,group-perron,https://www.perrongroup.com.au/,2026-09-02
The First Group,group-retail-first,https://www.retailfirst.com.au/,2026-09-02
Retail First Pty Ltd,group-retail-first,https://www.retailfirst.com.au/,2026-09-02
YFG Shopping Centres Pty Ltd,group-yfg-shopping-centres,https://www.retailfirst.com.au/news/strathpine-centre,2026-09-02
Vitocco Corporations,group-vitocco-enterprises,https://www.vitoccoenterprises.com.au/property,2026-09-02
Vitocco,group-vitocco-enterprises,https://www.vitoccoenterprises.com.au/property,2026-09-02
Perich family,group-greenfields,https://www.vitoccoenterprises.com.au/property,2026-09-02
Greenfields Development Company,group-greenfields,https://greenfields.net.au/,2026-09-02
Dart West Retail Pty Ltd,group-dart-west-retail,https://www.narellantowncentre.com.au/images/Mothers-Day-2026-GWP-Terms__Conditions.pdf,2026-09-02
Lend Lease Property Management (Australia) Pty Limited,group-lendlease,https://www.tweedcity.com.au/legal/privacy-policy/,2026-09-02
CQR,group-charter-hall-retail-reit,https://www.charterhall.com.au/property/property-detail/Orange-Central-Square,2026-09-02
Charter Hall Retail REIT (CQR),group-charter-hall-retail-reit,https://www.charterhall.com.au/property/property-detail/Orange-Central-Square,2026-09-02
IFM,group-ifm-investors,https://www.mirvac.com/investor-centre/property-portfolio/retail/kawana-shoppingworld,2026-09-02
IFM Investors Pty Ltd,group-ifm-investors,https://www.ifminvestors.com/,2026-09-02
CICT,group-capitaland-integrated-commercial-trust,https://www.mirvac.com/investor-centre/property-portfolio/retail/greenwood-plaza,2026-09-02
MA Financial Group,group-ma-financial,https://mafinancial.com/insights/ma-financial-acquires-interest-in-top-ryde-city-shopping-centre,2026-09-02
Keppel REIT Management Limited,group-keppel-reit,https://mafinancial.com/insights/ma-financial-acquires-interest-in-top-ryde-city-shopping-centre,2026-09-02
MA managed fund,group-ma-top-ryde-fund,https://mafinancial.com/insights/ma-financial-acquires-interest-in-top-ryde-city-shopping-centre,2026-09-02
Stockwell Retail Management Pty Ltd,group-stockwell,https://www.noosacivicshopping.com.au/noosa-civic-retail-centre-shopping-services-in-noosaville/,2026-09-02
St Ives Shopping Village,group-st-ives-shopping-village-ownership,https://stivesvillage.com.au/leasing-enquiries/,2026-09-02
OneFiveOne Property,group-151-property,https://151property.com.au/,2026-09-02
151 Property Pty Ltd,group-151-property,https://151property.com.au/,2026-09-02
Prime Retail,group-prime-retail-property,https://www.primeretail.com.au/home,2026-09-02
Vinta,group-vinta,https://www.vinta.com.au/,2026-09-02
Vinta Investment Management Pty Ltd,group-vinta,https://www.marketplacegungahlin.com.au/privacy/,2026-09-02
Leda Holdings Pty Ltd,group-leda-holdings,https://www.ledaholdings.com.au/projects/south-point-shopping-centre,2026-09-02
MINTUS,group-mintus,https://www.ashfieldmall.com.au/privacy-policy/,2026-09-02
Mintus Investments 4 Pty Ltd,group-mintus-ashfield-trust,https://www.ashfieldmall.com.au/privacy-policy/,2026-09-02
The Retail Investment Trust 8,group-mintus-ashfield-trust,https://www.ashfieldmall.com.au/privacy-policy/,2026-09-02
