portfolio_asset_id,group_id,canonical_name,country,state,aliases,preferred_place_id,roles,ownership_percentage,gla_sqm,tenancy_count,annual_visits_m,source_url,source_type,source_date,last_verified_at,confidence,status,public_note
scentre-belconnen,group-scentre,Westfield Belconnen,Australia,ACT,Belconnen,place-au-act-westfield-belconnen,OWNER|OPERATOR,100,95500,265,10.8,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-woden,group-scentre,Westfield Woden,Australia,ACT,Woden,place-au-act-westfield-woden,CO_OWNER|OPERATOR,50,72800,239,8.9,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-bondi-junction,group-scentre,Westfield Bondi Junction,Australia,NSW,Bondi Junction Westfield,place-au-nsw-bondi-junction-westfield,OWNER|OPERATOR,100,131200,445,18.6,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-burwood,group-scentre,Westfield Burwood,Australia,NSW,,place-au-nsw-westfield-burwood,CO_OWNER|OPERATOR,50,63200,227,14.1,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-chatswood,group-scentre,Westfield Chatswood,Australia,NSW,Chatswood Westfield,place-au-nsw-chatswood-westfield,OWNER|OPERATOR,100,81600,243,17.1,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-eastgardens,group-scentre,Westfield Eastgardens,Australia,NSW,,place-au-nsw-westfield-eastgardens,CO_OWNER|OPERATOR,50,83000,254,11.5,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-hornsby,group-scentre,Westfield Hornsby,Australia,NSW,,place-au-nsw-westfield-hornsby,OWNER|OPERATOR,100,98100,300,15.4,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-hurstville,group-scentre,Westfield Hurstville,Australia,NSW,,place-au-nsw-westfield-hurstville,CO_OWNER|OPERATOR,50,61000,234,19.8,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
scentre-kotara,group-scentre,Westfield Kotara,Australia,NSW,Kotara Westfield,place-au-nsw-kotara-westfield,OWNER|OPERATOR,100,80800,264,8.2,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group owns and operates this portfolio asset
scentre-liverpool,group-scentre,Westfield Liverpool,Australia,NSW,,place-au-nsw-westfield-liverpool,CO_OWNER|OPERATOR,50,83000,307,14.0,https://assets.ctfassets.net/0vreywxqlgab/6Akr2FWL1op8qg4qujnUZo/a43fa6f6f175e593a262a315aba309f0/2025_Property_Compendium.pdf,Official property compendium,2026-02-24,2026-09-02,High,ACTIVE,Scentre Group co-owns and operates this portfolio asset
