priority,place_id,name,country,state,locality,research_status,centre_class,bailey_store_count,mapped_named_brands,mapped_optical_stores,official_url,reason
P3,place-au-vic-centre-road,Centre Road,Australia,VIC,,Not researched,Unknown,0,1,2,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-nz-auckland-onehunga-mall,Onehunga Mall,New Zealand,Auckland,,Not researched,Unknown,0,1,2,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-coffs-harbour-city-centre,Coffs Harbour City Centre,Australia,NSW,Coffs Harbour,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-corrimal-shopping-centre,Corrimal Shopping Centre,Australia,NSW,Corrimal,Not researched,Unknown,0,1,1,http://lederer1.compcodigital.net/,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-griffith-central-shopping-centre,Griffith Central Shopping Centre,Australia,NSW,Griffith,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-imperial-shopping-centre,Imperial Shopping Centre,Australia,NSW,Gosford,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-neeta-city-shopping-centre,Neeta City Shopping Centre,Australia,NSW,Fairfield,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-sapphire-marketplace,Sapphire Marketplace,Australia,NSW,Bega,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-st-marys-village-shopping-centre,St Marys Village Shopping Centre,Australia,NSW,St Marys,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-the-belmore-centre,The Belmore Centre,Australia,NSW,Goulburn,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-the-galeries,The Galeries,Australia,NSW,Sydney,Not researched,Unknown,0,1,1,https://www.oscarwylee.com.au/locations/locations/optometrist-sydney-galeries.html,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-warilla-grove-shopping-centre,Warilla Grove Shopping Centre,Australia,NSW,Warilla,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nsw-windsor-riverview-shopping-centre,Windsor Riverview Shopping Centre,Australia,NSW,Windsor,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nt-hibiscus-shoppingtown,Hibiscus Shoppingtown,Australia,NT,Darwin,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-nt-smith-st-mall,Smith St Mall,Australia,NT,Darwin,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-allenstown-square,Allenstown Square,Australia,QLD,Allenstown,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-arndale-shopping-centre,Arndale Shopping Centre,Australia,QLD,Springwood,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-arundel-plaza,Arundel Plaza,Australia,QLD,Arundel,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-bay-plaza-yeppoon,Bay Plaza Yeppoon,Australia,QLD,Yeppoon,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-beaudesert-central-shopping-centre,Beaudesert Central Shopping Centre,Australia,QLD,Beaudesert,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-beerwah-village,Beerwah Village,Australia,QLD,Beerwah,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-bribie-island-shopping-centre,Bribie Island Shopping Centre,Australia,QLD,Bongaree,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-buderim-marketplace,Buderim Marketplace,Australia,QLD,Buderim,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-castletown-shoppingworld,Castletown Shoppingworld,Australia,QLD,Pimlico,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-homeco-lutwyche,HomeCo Lutwyche,Australia,QLD,Lutwyche,Not researched,Unknown,0,1,1,https://www.specsavers.com.au/stores/lutwyche,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-ipswich-riverlink-shopping-centre,Ipswich Riverlink Shopping Centre,Australia,QLD,Ipswich,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-nambour-plaza,Nambour Plaza,Australia,QLD,Nambour,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-nerang-town-centre,Nerang Town Centre,Australia,QLD,Nerang,Not researched,Unknown,0,1,1,https://mycentrenerang.com.au/,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-pialba-place,Pialba Place,Australia,QLD,Pialba,Not researched,Unknown,0,1,1,https://www.specsavers.com.au/stores/herveybaypialba,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-rose-city-shoppingworld,Rose City Shoppingworld,Australia,QLD,Warwick,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
P3,place-au-qld-station-square-shopping-centre,Station Square Shopping Centre,Australia,QLD,Maryborough,Not researched,Unknown,0,1,1,,Mapped named-network tenancy or official venue source provides a practical research starting point
