store_id,retailer,country,state,store_name,place_id,place_name,location_setting,mapping_confidence,evidence_basis,evidence_url,verified_at,previous_venue_id,review_status,usable_for_network
independent-other-optical-osm-au-node-2161974913,Independent / Other optical,Australia,ACT,Arcidiacono,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/2161974913,2026-09-01,,Needs review,false
independent-other-optical-osm-au-node-11974077342,Independent / Other optical,Australia,ACT,Bupa Optical,corridor-au-act-act-benjamin-way,Benjamin Way,High Street,Medium,Best-judgement street-address classification; no centre evidence found,https://www.openstreetmap.org/node/11974077342,2026-09-01,,Accepted,false
independent-other-optical-osm-au-node-8515803402,Independent / Other optical,Australia,ACT,Eye Candy,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/8515803402,2026-09-01,,Needs review,false
independent-other-optical-osm-au-node-2161972681,Independent / Other optical,Australia,ACT,MacKinley Optical,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/2161972681,2026-09-01,,Needs review,false
independent-other-optical-osm-au-node-1896332017,Independent / Other optical,Australia,ACT,Optorica,,,Uncertain,Uncertain,Location setting needs consultant review,https://www.openstreetmap.org/node/1896332017,2026-09-01,,Needs review,false
bailey-nelson-belconnen,Bailey Nelson,Australia,ACT,Bailey Nelson Belconnen,place-au-act-westfield-belconnen,Westfield Belconnen,Shopping Centre,High,Official centre directory lists Bailey Nelson at Westfield Belconnen,https://www.westfield.com.au/belconnen/store/5TPpI9MjtZqWIXgQoBZf0z/bailey-nelson,2026-09-01,,Accepted,true
opsm-1221,OPSM,Australia,ACT,OPSM Belconnen,place-au-act-westfield-belconnen,Westfield Belconnen,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01,,Accepted,true
oscar-wylee-124,Oscar Wylee,Australia,ACT,Westfield Belconnen,place-au-act-westfield-belconnen,Westfield Belconnen,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.com.au/locations/locations/optometrist-belconnen.html,2026-09-01,act-belconnen-westfield,Accepted,true
specsavers-3307,Specsavers,Australia,ACT,Belconnen Westfield,place-au-act-westfield-belconnen,Westfield Belconnen,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.com.au/stores/belconnen,2026-09-01,act-belconnen-westfield,Accepted,true
bailey-nelson-canberra,Bailey Nelson,Australia,ACT,Bailey Nelson Canberra City,corridor-au-act-canberra-bunda-street,Bunda Street,High Street,Medium,Numbered street address without a corroborated centre match,https://baileynelson.com.au/pages/optometrist-canberra,2026-09-01,,Accepted,true
opsm-1029,OPSM,Australia,ACT,OPSM Canberra,corridor-au-act-canberra-bunda-street,Bunda Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01,,Accepted,true
oscar-wylee-12,Oscar Wylee,Australia,ACT,Canberra Centre,place-au-act-canberra-centre,Canberra Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.com.au/locations/locations/optometrist-canberra-centre.html,2026-09-01,act-canberra,Accepted,true
specsavers-3309,Specsavers,Australia,ACT,Canberra Centre,place-au-act-canberra-centre,Canberra Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.com.au/stores/canberra,2026-09-01,act-canberra,Accepted,true
oscar-wylee-73,Oscar Wylee,Australia,ACT,South Point Tuggeranong,place-au-act-south-point-shopping-centre,South Point Shopping Centre,Shopping Centre,Medium,Store and centre names overlap and coordinates are within 125 m,https://www.oscarwylee.com.au/locations/locations/optometrist-tuggeranong.html,2026-09-01,,Accepted,true
specsavers-3308,Specsavers,Australia,ACT,Tuggeranong,place-au-act-south-point-shopping-centre,South Point Shopping Centre,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.com.au/stores/tuggeranong,2026-09-01,act-point-south,Accepted,true
opsm-1121,OPSM,Australia,ACT,OPSM Gungahlin,place-au-act-marketplace-gungahlin,Marketplace Gungahlin,Shopping Centre,High,Official centre directory lists OPSM and the store address matches the Marketplace Gungahlin development,https://www.marketplacegungahlin.com.au/shopping/health-fitness/optical/opsm/,2026-09-02,,Accepted,true
specsavers-3583,Specsavers,Australia,ACT,Gungahlin,place-au-act-marketplace-gungahlin,Marketplace Gungahlin,Shopping Centre,High,Official Marketplace directory lists Specsavers in Shop 17 of the Big W Building,https://www.marketplacegungahlin.com.au/shopping/health-fitness/optical/specsavers/,2026-09-02,,Accepted,true
oscar-wylee-135,Oscar Wylee,Australia,ACT,Westfield Woden,place-au-act-westfield-woden,Westfield Woden,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.oscarwylee.com.au/locations/locations/optometrist-woden.html,2026-09-01,act-westfield-woden,Accepted,true
specsavers-3346,Specsavers,Australia,ACT,Woden Westfield,place-au-act-westfield-woden,Westfield Woden,Shopping Centre,High,Canonicalised from the store's named retail-place evidence,https://www.specsavers.com.au/stores/woden,2026-09-01,act-westfield-woden,Accepted,true
opsm-1009,OPSM,Australia,ACT,OPSM Tuggeranong,corridor-au-act-tuggeranong-anketell-street,Anketell Street,High Street,Medium,Numbered street address without a corroborated centre match,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01,,Accepted,true
