name,id,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,status
Bailey Nelson Albany,optometrist-albany-auckland,New Zealand,Auckland,Auckland,0632,"Shop S253 Westfield Albany, 219 Don McKinnon Drive, Auckland, NI, 0632",+6499419837,-36.7286232,174.708294,https://baileynelson.co.nz/pages/optometrist-albany-auckland,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Ponsonby,optometrist-ponsonby,New Zealand,Auckland,Auckland,1011,"Shop 4, 160 Ponsonby Road, Auckland, NI, 1011",+6499419836,-36.855511,174.7460373,https://baileynelson.co.nz/pages/optometrist-ponsonby,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson St Lukes - Now Open,optometrist-st-lukes,New Zealand,Auckland,Auckland,1025,"Shop S209, Westfield St Lukes, 80 Saint Lukes Road, Mount Albert, Auckland, NI, 1025",006498737941,-36.8828849,174.7331998,https://baileynelson.co.nz/pages/optometrist-st-lukes,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Sylvia Park,optometrist-sylvia-park,New Zealand,Auckland,Auckland,1060,"Shop 252, 286 Mount Wellington Highway, Mount Wellington, Auckland, NI, 1060",+6499419990,-36.9174341,174.842355,https://baileynelson.co.nz/pages/optometrist-sylvia-park,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Takapuna,optometrist-takapuna,New Zealand,Auckland,Auckland,0622,"7 Hurstmere Road, Auckland, NI, 0622",+6499655165,-36.788932,174.772539,https://baileynelson.co.nz/pages/optometrist-takapuna,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Auckland CBD,optometrist-auckland-cbd,New Zealand,Auckland,Auckland Central,1010,"Shop 8 Level 2, 7 Queen Street, Auckland Central, NI, 1010",+6499419833,-36.8439417,174.7660562,https://baileynelson.co.nz/pages/optometrist-auckland-cbd,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Botany,optometrist-botany,New Zealand,Auckland,East Tamaki,2016,"Botany Town Centre Shop 109, 588 Chapel Road, East Tamaki, NI, 2016",+6499419989,-36.9333431,174.913497,https://baileynelson.co.nz/pages/optometrist-botany,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Tauranga,optometrist-tauranga,New Zealand,Bay of Plenty,Tauranga,3116,"Bayfair Shopping Center, Shop 0803A, 19 Girven Road, Mount Maunganui, Tauranga, NI, 3116",+6472829602,-37.6749453,176.2230361,https://baileynelson.co.nz/pages/optometrist-tauranga,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Cashel Street,optometrist-cashel-street,New Zealand,Canterbury,Christchurch,8011,"2/79 Cashel Street, Christchurch, SI, 8011",+6439306645,-43.5329912,172.6342079,https://baileynelson.co.nz/pages/optometrist-cashel-street,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Riccarton,optometrist-riccarton,New Zealand,Canterbury,Christchurch,8041,"Shop 234, 129 Riccarton Road, Christchurch, SI, 8041",+6439306644,-43.5308029,172.598759,https://baileynelson.co.nz/pages/optometrist-riccarton,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Dunedin,optometrist-dunedin,New Zealand,Otago,Central Dunedin,9058,"Shop G05, Meridian Mall, 285 George Street, Central Dunedin, Dunedin, 9058",+64 3 244 8027,-45.8700855,170.5052608,https://baileynelson.co.nz/pages/optometrist-dunedin,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Hamilton,optometrist-hamilton,New Zealand,Waikato,Chartwell,3210,"Shop 230 Chartwell Shopping Center, 201 Hukanui Road, Chartwell, Hamilton, 3210",+6479700391,-37.7505279,175.2790885,https://baileynelson.co.nz/pages/optometrist-hamilton,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Queensgate,optometrist-queensgate,New Zealand,Wellington,Hutt Central,5011,"Shop 139, Queensgate Shopping Centre, Cnr Queens Drive and Bunny Street, Hutt Central, Hutt Central, Wellington, 5011",+64 4 219 0276,-41.2093313,174.9065904,https://baileynelson.co.nz/pages/optometrist-queensgate,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bailey Nelson Willis Street,optometrist-willis-street,New Zealand,Wellington,Wellington,6011,"69 Willis Street, Wellington, NI, 6011",+6449075387,-41.2881537,174.775422,https://baileynelson.co.nz/pages/optometrist-willis-street,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
