id,name,status,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,map_url,coordinate_source
belconnen,Bailey Nelson Belconnen,Active,ACT,Belconnen,2617,"Level 2, Shop 81 Benjamin Way, Belconnen, ACT, 2617",+61251275194,-35.2381903,149.065097,https://baileynelson.com.au/pages/optometrist-belconnen,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Belconnen/@-35.2381903,149.065097,15z/data=!4m6!3m5!1s0x6b17adbbd2b98c2b:0x84bc653caf9cfb34!8m2!3d-35.2381903!4d149.065097!16s%2Fg%2F11s63_rvxk?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNy4wKgBIAVAD",Official Google Maps link
canberra,Bailey Nelson Canberra City,Active,ACT,Canberra,2601,"2 Bunda St, Canberra, ACT, 2601",+61251275196,-35.278545,149.1336806,https://baileynelson.com.au/pages/optometrist-canberra,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Canberra/@-35.278545,149.1336806,15z/data=!4m6!3m5!1s0x6b164d6f4e38fff1:0xc36ba496510da3fc!8m2!3d-35.278545!4d149.1336806!16s%2Fg%2F11bxgbd82f?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNy4wKgBIAVAD",Official Google Maps link
balmain,Bailey Nelson Balmain,Active,NSW,Balmain,2041,"295 Darling Street, Balmain, NSW, 2041",+61283571359,-33.857109,151.1806581,https://baileynelson.com.au/pages/optometrist-balmain,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Balmain/@-33.857109,151.1780832,17z/data=!3m1!4b1!4m6!3m5!1s0x6b12afd19aa2cb83:0x77274b37cc18fb9!8m2!3d-33.857109!4d151.1806581!16s%2Fg%2F11vs7knq5f?sca_esv=e89764eee12a19ad&sca_upv=1&output=search&q=bailey+nelson+balmain&source=lnms&fbs=AEQNm0C5IIOpSDYVh51ut_zQFgH5DNv_pTVgUFFjqHIROnWawIGVx0E6ObWKkhgJ1A_fnERo-OpcvVN6jtjqIYuEtPV04pLWLAxVA-rEHSzayuvqO4nl1GIW0ITngnZtYohMxMbKYA7tT2fckMMK5_ln43b3fh1JramwkaHUjmkStl7V1xKJer8IPzxIpM7SgVHbMoi7C3On&ved=1t:200715&ictx=111&entry=tts&g_ep=EgoyMDI0MDgyNi4wKgBIAVAD",Official Google Maps link
bondi-beach,Bailey Nelson Bondi Beach,Active,NSW,Bondi Beach,2026,"157 Curlewis Street, Bondi Beach, NSW, 2026",+61283571352,-33.8895405,151.2745168,https://baileynelson.com.au/pages/optometrist-bondi-beach,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Bondi+Beach/@-33.8895405,151.2745168,15z/data=!4m6!3m5!1s0x6b12ad9eb448ccff:0x644f63a0ff0b92b7!8m2!3d-33.8895405!4d151.2745168!16s%2Fg%2F11b6zsgr57?sa=X&ved=1t:2428&ictx=111&entry=tts&g_ep=EgoyMDI0MDgyNi4wKgBIAVAD",Official Google Maps link
bondi-junction,Bailey Nelson Bondi Junction,Active,NSW,Bondi Junction,2022,"Westfield Bondi Junction, Bondi Junction, NSW, 2022",+61283571357,-33.8925777,151.2507681,https://baileynelson.com.au/pages/optometrist-bondi-junction,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Bondi+Junction/@-33.8925777,151.2507681,15z/data=!4m6!3m5!1s0x6b12adf188929437:0x99e0db4ab48615f3!8m2!3d-33.8925777!4d151.2507681!16s%2Fg%2F11c5s_lws7?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
warringah-mall,Bailey Nelson Warringah Mall,Active,NSW,Brookvale,2100,"Shop 1530 Westfield Warringah Mall, 145 Condamine St, Brookvale, NSW, 2100",+61283571356,-33.7665187,151.2651111,https://baileynelson.com.au/pages/optometrist-warringah-mall,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Warringah+Mall/@-33.7665187,151.2651111,15z/data=!4m6!3m5!1s0x6b12abda69f4d617:0xbce2fa60ee66dec5!8m2!3d-33.7665187!4d151.2651111!16s%2Fg%2F11t5l43_nd?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
byron-bay,Bailey Nelson Byron Bay,Active,NSW,Byron Bay,2481,"15 Lawson Street, Byron Bay, NSW, 2481",+61256439793,-28.6421951,153.6133449,https://baileynelson.com.au/pages/optometrist-byron-bay,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Byron+Bay/@-28.6421951,153.6133449,15z/data=!4m6!3m5!1s0x6b90623a33b54b95:0x52018bf13051a216!8m2!3d-28.6421951!4d153.6133449!16s%2Fg%2F11f1238lgv?coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
castle-towers,Bailey Nelson Castle Towers,Active,NSW,Castle Hill,2154,"6-14 Castle St, Castle Hill, NSW, 2154",+61283571354,-33.7300053,151.0065959,https://baileynelson.com.au/pages/optometrist-castle-towers,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Castle+Towers/@-33.7300053,151.0065959,15z/data=!4m6!3m5!1s0x6b12a1d6214ff40d:0xb802c8a53b75aee1!8m2!3d-33.7300053!4d151.0065959!16s%2Fg%2F11s1781014?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
chatswood,Bailey Nelson Chatswood,Active,NSW,Chatswood,2067,"1 Anderson Street, Chatswood, NSW, 2067",+61283571355,-33.796909,151.1837921,https://baileynelson.com.au/pages/optometrist-chatswood,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Bailey+Nelson+Optometrist+-+Chatswood/@-33.796909,151.1837921,15z/data=!4m6!3m5!1s0x6b12a97badedbe5f:0xbf153b291883a80e!8m2!3d-33.796909!4d151.1837921!16s%2Fg%2F11nn1tqj4g?sa=X&ved=1t:2428&ictx=111&coh=219816&entry=tts&g_ep=EgoyMDI0MDgwNC4wKgBIAVAD",Official Google Maps link
green-hills,Bailey Nelson Green Hills,Active,NSW,East Maitland,2323,"1 Molly Morgan Dr, East Maitland, NSW, 2323",+61240818935,-32.7627913,151.5913572,https://baileynelson.com.au/pages/optometrist-green-hills,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,"https://www.google.com/maps/place/Stockland+Green+Hills/@-32.7620378,151.5885694,17z/data=!3m1!5s0x6b7346bba52ea4c7:0x6e3ce34b8cca20db!4m7!3m6!1s0x6b7346bb2693162b:0xb78078bc9cd93816!8m2!3d-32.7627913!4d151.5913572!15sCktTaG9wIDEwOTMsIFN0b2NrbGFuZCBHcmVlbiBIaWxscywgMSBNb2xseSBNb3JnYW4gRHIsIEVhc3QgTWFpdGxhbmQgTlNXIDIzMjNaSiJIc2hvcCAxMDkzIHN0b2NrbGFuZCBncmVlbiBoaWxscyAxIG1vbGx5IG1vcmdhbiBkciBlYXN0IG1haXRsYW5kIG5zdyAyMzIzkgEPc2hvcHBpbmdfY2VudGVyqgGMAQoKL20vMDQyMXRuNRABKg0iCXNob3AgMTA5MygAMh8QASIbKPIY6yR0f3F-09zPQ9oi6jBU400vHrexhukYMkwQAiJIc2hvcCAxMDkzIHN0b2NrbGFuZCBncmVlbiBoaWxscyAxIG1vbGx5IG1vcmdhbiBkciBlYXN0IG1haXRsYW5kIG5zdyAyMzIz4AEA!16s%2Fm%2F0421tn5?entry=tts&g_ep=EgoyMDI1MDcwOS4wIPu8ASoASAFQAw%3D%3D&skid=eeeb7335-dd40-4d74-a0dc-3c850f1956d9",Official Google Maps link
