name,id,state,city,postal_code,full_address,phone,latitude,longitude,services
Belconnen,069,ACT,Belconnen,2617,"City Beach, Westfield Belconnen Shopping Centre, Shop-123/124A, Benjamin Way., Belconnen, ACT, 2617",02 6103 1085,-35.238076,149.065042,"Official City Beach store, Click & Collect"
Ballina,030,NSW,Ballina,2478,"City Beach, Ballina Fair, Shop-4/5, 84 Kerr St., Ballina, NSW, 2478",02 5631 8190,-28.85861,153.559561,"Official City Beach store, Click & Collect"
Brookvale,011,NSW,Brookvale,2100,"City Beach, Westfield Warringah Mall, Shop-2110, 11 Old Pittwater Rd., Brookvale, NSW, 2100",,-33.763223,151.26913,"Official City Beach store, Click & Collect"
Burwood,025,NSW,Burwood,2134,"City Beach, Westfield Burwood Shopping Centre, Shop 1-238/39 100 Burwood Road, Burwood, NSW, 2134",02 9582 4160,-33.8746,151.1059,"Official City Beach store, Click & Collect"
Macarthur,046,NSW,Campbelltown,2560,"City Beach, Macarthur Square Shopping Centre, Shop-82/83, 200 Gilchrist Dr., Campbelltown, NSW, 2560",02 4631 8900,-34.0766,150.7979,"Official City Beach store, Click & Collect"
Charlestown,065,NSW,Charlestown,2290,"City Beach, Charletown Square, Shop-2037, 30 Pearson St., Charlestown, NSW, 2290",02 4942 1057,-32.9652,151.6939,"Official City Beach store, Click & Collect"
Greenhills,039,NSW,East Maitland,2323,"City Beach, Stocklands Green Hills Shopping Centre, Level-1, 1 Molly Morgan Dr., East Maitland, NSW, 2323",02 4013 6115,-32.7624,151.5897,"Official City Beach store, Click & Collect"
Erina,048,NSW,Erina,2250,"City Beach, Erina Fair Shopping Center, Shop-T387, 620-658 Terrigal Dr., Erina, NSW, 2250",02 4302 0476,-33.4382,151.3946,"Official City Beach store, Click & Collect"
Lismore,035,NSW,Lismore,2480,"City Beach, Lismore Shopping Square, Shop-55, 40 Brewster St., Lismore, NSW, 2480",02 6626 4180,-28.8101,153.2854,"Official City Beach store, Click & Collect"
Miranda,088,NSW,Miranda,2228,"City Beach, Westfield Miranda Shopping Centre, Shop-3005/3007, 600 Kingsway., Miranda, NSW, 2228",02 9531 3380,-34.033,151.0864,"Official City Beach store, Click & Collect"
Mt Druitt,036,NSW,Mount Druitt,2770,"City Beach, Westfield Mt Druitt Shopping Centre, Shop-210, Cnr Luxford Rd and Carlisle Ave., Mount Druitt, NSW, 2770",02 9208 6040,-33.7665,150.8189,"Official City Beach store, Click & Collect"
Narellan,047,NSW,Narellan,2567,"City Beach, Narellan Town Centre, Shop-162/165, 326 Camden Valley Way., Narellan, NSW, 2567",02 4605 0296,-34.0408,150.7284,"Official City Beach store, Click & Collect"
Macquarie,058,NSW,North Ryde,2113,"City Beach, Macquarie Centre, Shop-446, Cnr Herring Rd and Waterloo Rd., North Ryde, NSW, 2113",02 9448 1500,-33.7764,151.1197,"Official City Beach store, Click & Collect"
Nowra,086,NSW,Nowra,2541,"City Beach, Stockland Nowra Shopping Centre, Shop-051, 32-60 East St., Nowra, NSW, 2541",02 4409 2913,-34.877091,150.606066,"Official City Beach store, Click & Collect"
Parramatta,017,NSW,Parramatta,2150,"City Beach, Westfield Parramatta Shopping Centre, Shop-2112/2113, Level-2, 159-175 Church St., Parramatta, NSW, 2150",02 8855 3740,-33.8177,151.0021,"Official City Beach store, Click & Collect"
Penrith,045,NSW,Penrith,2750,"City Beach, Westfield Penrith Shopping Centre, Shop-95, 585 High St., Penrith, NSW, 2750",02 4729 8000,-33.7511,150.6924,"Official City Beach store, Click & Collect"
Port Macquarie,085,NSW,Port Macquarie,2444,"City Beach, Settlement City, Shop-T47/T48 , Bay St & Cnr Park., Port Macquarie, NSW, 2444",02 6590 1891,-31.429188,152.892273,"Official City Beach store, Click & Collect"
Rouse Hill,059,NSW,Rouse Hill,2155,"City Beach, Rouse Hill Town Centre, Shop-GR099, 10 Market Lane., Rouse Hill, NSW, 2155",02 9629 2255,-33.691,150.9233,"Official City Beach store, Click & Collect"
Shell Harbour,067,NSW,Shellharbour,2528,"City Beach, Stockland Shellharbour, Shop-2005, 211 Lake Entrance Rd., Shellharbour, NSW, 2528",02 4251 8910,-34.5649,150.8366,"Official City Beach store, Click & Collect"
Tuggerah,027,NSW,Tuggerah,2259,"City Beach, Westfield Tuggerah Shopping Centre, Shop-1097/1098, 50 Wyong Rd., Tuggerah, NSW, 2259",02 4356 7390,-33.3084,151.4123,"Official City Beach store, Click & Collect"
Tweed City,057,NSW,Tweed Heads South,2486,"City Beach, Tweed City Shopping Centre, Shop-122A, 54 Minjungbal Dr., Tweed Heads South, NSW, 2486",07 5569 9320,-28.2009,153.5371,"Official City Beach store, Click & Collect"
Wollongong,033,NSW,Wollongong,2500,"City Beach, Wollongong Central, Shop-W105/106, Ground Level, 200 Crown St., Wollongong, NSW, 2500",02 4201 0199,-34.424504,150.893147,"Official City Beach store, Click & Collect"
Darwin,083,NT,Casuarina,0810,"City Beach, Casuarina Square Shopping Center, Shop-231, 247 Trower Rd., Casuarina, NT, 0810",08 8920 8300,-12.3754,130.8786,"Official City Beach store, Click & Collect"
Airlie Beach,072,QLD,Airlie Beach,4802,"City Beach, 380 Shute Harbour Rd., Airlie Beach, QLD, 4802",07 4967 7170,-20.269194,148.716532,"Official City Beach store, Click & Collect"
Queen Street,020,QLD,Brisbane,4000,"City Beach, Queen Street Mall, 120 Queen St., Brisbane, QLD, 4000",07 3405 8820,-27.47,153.0246,"Official City Beach store, Click & Collect"
Pacific Fair,010,QLD,Broadbeach,4218,"City Beach, Pacific Fair Shopping Centre, Shop-1551/2-30 Hooker Blvd, Broadbeach, QLD, 4218",07 5583 9720,-28.036,153.427,"Official City Beach store, Click & Collect"
Browns Plains,007,QLD,Browns Plains,4118,"City Beach, Grand Plaza Shopping Centre, Shop-70, 27-49 Browns Plains Rd., Browns Plains, QLD, 4118",07 3884 7690,-27.6603,153.041,"Official City Beach store, Click & Collect"
Kawana,018,QLD,Buddina,4575,"City Beach, Kawana Shoppingworld, Shop-343, 119 Point Cartwright Dr., Buddina, QLD, 4575",07 5470 9100,-26.7023,153.1307,"Official City Beach store, Click & Collect"
Cairns,028,QLD,Cairns City,4870,"City Beach, Cairns Central Shopping Centre, Shop-1, 21 McLeod St., Cairns City, QLD, 4870",07 4048 8120,-16.9246,145.7716,"Official City Beach store, Click & Collect"
Carindale,006,QLD,Carindale,4152,"City Beach, Westfield Carindale Shopping Centre, Shop-2010, Level-1, 1151 Creek Road, Carindale, QLD, 4152",07 3405 8830,-27.5027,153.1023,"Official City Beach store, Click & Collect"
Chermside,005,QLD,Chermside,4032,"City Beach, Westfield Chermside Shopping Centre, Shop-106/107, Cnr Gympie Rd and Hamilton Rd., Chermside, QLD, 4032",07 3632 3200,-27.3804,153.0329,"Official City Beach store, Click & Collect"
Coomera,043,QLD,Coomera,4209,"City Beach, Westfield Coomera Shopping Center, Shop-MM4, 103 Foxwell Rd., Coomera, QLD, 4209",07 5600 0970,-27.8541,153.3156,"Official City Beach store, Click & Collect"
