id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
8550,Eyecare Plus Optometrists Coombs,Active,Australia,ACT,Coombs,2611,"110 Woodberry Avenue, Coombs, ACT, 2611",02 6152 8585,-35.319773,149.039511,https://www.eyecareplus.com.au/coombs/,,false,https://www.eyecareplus.com.au/find-optometrist/
636,Eyecare Plus Optometrists Manuka,Active,Australia,ACT,Manuka,2603,"Shop 31 & 32 Manuka Terrace, 18 Flinders Way, Manuka, ACT, 2603",(02) 6295 0137,-35.320552,149.134232,https://www.eyecareplus.com.au/manuka/,,false,https://www.eyecareplus.com.au/find-optometrist/
567,Eyecare Plus Optometrists Bankstown,Active,Australia,NSW,Bankstown,2200,"Shop SP232 Bankstown Central, North Terrace, Bankstown, NSW, 2200",(02) 9790 5343,-33.916407,151.038375,https://www.eyecareplus.com.au/bankstown/,,false,https://www.eyecareplus.com.au/find-optometrist/
121111,Eyecare Plus Optometrists Beecroft,Active,Australia,NSW,Beecroft,2119,"3 Hannah Street, Beecroft, NSW, 2119",(02) 9980 5351,-33.749486,151.064552,https://www.eyecareplus.com.au/beecroft/,,false,https://www.eyecareplus.com.au/find-optometrist/
154026,Eyecare Plus Optometrists Belmont,Active,Australia,NSW,Belmont,2280,"Belmont Citi Centre, Shop 6, 41 Macquarie St, Belmont, NSW, 2280",(02) 4947 0919,-33.035009,151.658926,https://www.eyecareplus.com.au/belmont/,,false,https://www.eyecareplus.com.au/find-optometrist/
575,Eyecare Plus Optometrists Bowral,Active,Australia,NSW,Bowral,2576,"2/36 Wingecarribee Street, Bowral, NSW, 2576",(02) 4862 2027,-34.478597,150.419026,https://www.eyecareplus.com.au/bowral/,,false,https://www.eyecareplus.com.au/find-optometrist/
579,Eyecare Plus Optometrists Burwood,Active,Australia,NSW,Burwood,2134,"58 Park Rd, Burwood, NSW, 2134",(02) 9747 2518,-33.875889,151.104243,https://www.eyecareplus.com.au/burwood/,,false,https://www.eyecareplus.com.au/find-optometrist/
580,Eyecare Plus Optometrists Camden,Active,Australia,NSW,Camden,2570,"90 Argyle Street, Camden, NSW, 2570",(02) 4655 2944,-34.054428,150.696792,https://www.eyecareplus.com.au/camden/,,false,https://www.eyecareplus.com.au/find-optometrist/
581,Eyecare Plus Optometrists Campbelltown,Active,Australia,NSW,Campbelltown,2560,"21 Dumaresq St, Campbelltown, NSW, 2560",(02) 4628 3651,-34.0674,150.81212,https://www.eyecareplus.com.au/campbelltown/,,false,https://www.eyecareplus.com.au/find-optometrist/
583,Eyecare Plus Optometrists Caringbah,Active,Australia,NSW,Caringbah,2229,"5 President Avenue, Caringbah, NSW, 2229",(02) 9525 2433,-34.042814,151.121969,https://www.eyecareplus.com.au/caringbah/,,false,https://www.eyecareplus.com.au/find-optometrist/
584,Eyecare Plus Optometrists Carnes Hill,Active,Australia,NSW,Carnes Hill,2171,"Shop B29 Carnes Hill Marketplace, 245 Cowpasture Road, Carnes Hill, NSW, 2171",(02) 9826 8800,-33.937241,150.845495,https://www.eyecareplus.com.au/carneshill/,,false,https://www.eyecareplus.com.au/find-optometrist/
586,Eyecare Plus Optometrists Castle Hill,Active,Australia,NSW,Castle Hill,2154,"180B Old Northern Rd, Castle Hill, NSW, 2154",(02) 8677 5483,-33.744069,150.997207,https://www.eyecareplus.com.au/castlehill/,,false,https://www.eyecareplus.com.au/find-optometrist/
590,Eyecare Plus Optometrists Chullora,Active,Australia,NSW,Chullora,2190,"Shop 26, Chullora Market Place, 355 Waterloo Road, Chullora, NSW, 2190",(02) 9642 7799,-33.892918,151.059675,https://www.eyecareplus.com.au/chullora/,,false,https://www.eyecareplus.com.au/find-optometrist/
