id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
woden,EyeQ Optometrists Woden,Active,Australia,ACT,Woden,2606,"1st Floor, Bonner Court , Westfield, Woden ACT 2606",,-35.346075329910235,149.0871068153074,https://www.eyeq.com.au/optometrist/woden/,,false,https://www.eyeq.com.au/find-an-optometrist/
bathurst,EyeQ Optometrists Bathurst,Active,Australia,NSW,Bathurst,2795,"175 Howick Street , Bathurst NSW 2795",,-33.4166789,149.58097460000002,https://www.eyeq.com.au/optometrist/bathurst/,,false,https://www.eyeq.com.au/find-an-optometrist/
berowra-heights,EyeQ Optometrists Berowra Heights,Active,Australia,NSW,Berowra Heights,2082,"1A Turner Road , Berowra Heights NSW 2082",,-33.613161905864985,151.13681137658304,https://www.eyeq.com.au/optometrist/berowra-heights/,,false,https://www.eyeq.com.au/find-an-optometrist/
cootamundra,EyeQ Optometrists Cootamundra,Active,Australia,NSW,Cootamundra,2590,"262a Parker Street , Cootamundra NSW 2590",,-34.6383892593317,148.02211417662141,https://www.eyeq.com.au/optometrist/cootamundra/,,false,https://www.eyeq.com.au/find-an-optometrist/
eastgardens,EyeQ Optometrists Eastgardens,Active,Australia,NSW,Eastgardens,2036,"Westfield Eastgardens Shop 168, 152 Bunnerong Rd, Eastgardens NSW 2036",,-33.94488152300502,151.22086307659546,https://www.eyeq.com.au/optometrist/eastgardens/,,false,https://www.eyeq.com.au/find-an-optometrist/
jannali,EyeQ Optometrists Jannali,Active,Australia,NSW,Jannali,2226,"563 Box Road, Jannali NSW 2226",,-34.015974126698225,151.0625816765981,https://www.eyeq.com.au/optometrist/jannali/,,false,https://www.eyeq.com.au/find-an-optometrist/
kiama,EyeQ Optometrists Kiama,Active,Australia,NSW,Kiama,2533,"Shop 4, 124 Terralong Street, Kiama NSW 2533",,-34.66889186094456,150.84937057662276,https://www.eyeq.com.au/optometrist/kiama/,,false,https://www.eyeq.com.au/find-an-optometrist/
lithgow,EyeQ Optometrists Lithgow,Active,Australia,NSW,Lithgow,2790,"122 Main Street , Lithgow NSW 2790",,-33.481010499079346,150.15393007657812,https://www.eyeq.com.au/optometrist/lithgow/,,false,https://www.eyeq.com.au/find-an-optometrist/
maroubra-junction,EyeQ Optometrists Maroubra Junction,Active,Australia,NSW,Maroubra Junction,2035,"Shop 12, Pacific Square , 737 Anzac Parade, Maroubra Junction NSW 2035",,-33.940747030636395,151.23616181436674,https://www.eyeq.com.au/optometrist/maroubra-junction/,,false,https://www.eyeq.com.au/find-an-optometrist/
nowra,EyeQ Optometrists Nowra,Active,Australia,NSW,Nowra,2541,"59 Kinghorne Street , Nowra NSW 2541",,-34.87701727198462,150.5998267766306,https://www.eyeq.com.au/optometrist/nowra/,,false,https://www.eyeq.com.au/find-an-optometrist/
port-macquarie,EyeQ Optometrists Port Macquarie,Active,Australia,NSW,Port Macquarie,2444,"Unit 1, 16 Clarence Street , Port Macquarie NSW 2444",,-31.42918979687207,152.90769917650385,https://www.eyeq.com.au/optometrist/port-macquarie/,,false,https://www.eyeq.com.au/find-an-optometrist/
ramsgate,EyeQ Optometrists Ramsgate,Active,Australia,NSW,Ramsgate,2217,"Shops 9-11, 191 Ramsgate Road , Ramsgate NSW 2217",,-33.98603282514195,151.14251017659703,https://www.eyeq.com.au/optometrist/ramsgate/,,false,https://www.eyeq.com.au/find-an-optometrist/
st-ives,EyeQ Optometrists St Ives,Active,Australia,NSW,St Ives,2075,"192B Mona Vale Road , St Ives NSW 2075",,-33.73027471189897,151.1576012765874,https://www.eyeq.com.au/optometrist/st-ives/,,false,https://www.eyeq.com.au/find-an-optometrist/
