id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
17200,Andrew Watkins Optometrist,Active,Australia,ACT,Canberra,2606,"CG5 City Walk, Canberra, ACT, 2606, Australia",02 6247 7705,-35.2804061,149.1325496,https://georgeandmatilda.com.au/stores/optometrist-canberra-act-andrew-watkins-optometrist/,,false,https://georgeandmatilda.com.au/find-a-store/
17217,Evans & McMahon – Civic,Active,Australia,ACT,Canberra,2601,"29/33 Northbourne Ave, Canberra, ACT, 2601, Australia",02 6257 1103,-35.2791815,149.1287502,https://georgeandmatilda.com.au/stores/optometrist-canberra-act-evans-mcmahon-optometrist/,,false,https://georgeandmatilda.com.au/find-a-store/
17216,Evans & McMahon – Tuggeranong,Active,Australia,ACT,Tuggeranong,2901,"Tuggeranong Square,, Anketell & Reed Sts, Tuggeranong, ACT, 2901, Australia",02 6293 1171,-35.41995,149.070052,https://georgeandmatilda.com.au/stores/optometrist-tuggeranong-act/,,false,https://georgeandmatilda.com.au/find-a-store/
483,George & Matilda Eyecare for Partners in Vision,Active,Australia,NSW,Albion Park,2527,"Shop 1, 155 Tongara Road, Albion Park, NSW, 2527, Australia",(02) 4257 9114,-34.5710712,150.7736879,https://georgeandmatilda.com.au/stores/optometrist-albion-park-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
484,George & Matilda Eyecare for Partners in Vision,Active,Australia,NSW,Balgownie,2519,"Shop 4, 125-129 Balgownie Road, Balgownie, NSW, 2519, Australia",(02) 4283 4411,-34.3889186,150.8778792,https://georgeandmatilda.com.au/stores/optometrist-balgownie-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
474,George & Matilda Eyecare for Meyer Optica,Active,Australia,NSW,Balmain,2041,"303 Darling Street, Balmain, NSW, 2041, Australia",(02) 9810 4605,-33.857004,151.1782323,https://georgeandmatilda.com.au/stores/optometrist-balmain-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
487,George & Matilda Eyecare for Peter Baker Optical,Active,Australia,NSW,Caringbah,2229,"25 President Ave, Caringbah, NSW, 2229, Australia",(02) 9525 3255,-34.0426992,151.1189936,https://georgeandmatilda.com.au/stores/optometrist-caringbah-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
443,George & Matilda Eyecare for Eye Site,Active,Australia,NSW,Castle Hill,2154,"Shop 251 Castle Towers Shopping Centre, Castle Hill, NSW, 2154, Australia",(02) 9899 2107,-33.729589,151.005337,https://georgeandmatilda.com.au/stores/optometrist-castle-hill-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
17202,Charlestown Eyecare,Active,Australia,NSW,Charlestown,2290,"147 Pacific Hwy, Charlestown, NSW, 2290, Australia",(02) 4943 0744,-32.963064,151.6963752,https://georgeandmatilda.com.au/stores/optometrist-charlestown-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
475,George & Matilda Eyecare for Monaro Optical,Active,Australia,NSW,Cooma,2630,"53 Vale Street, Cooma, NSW, 2630, Australia",(02) 6452 5519,-36.235349,149.1242183,https://georgeandmatilda.com.au/stores/optometrist-cooma-nsw/,,false,https://georgeandmatilda.com.au/find-a-store/
