id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,website_url,instagram_url,facebook_url,directory_url,services,audiology,source_url,source_confidence
osm-au-node-2161974913,Arcidiacono,Mapped,Australia,ACT,,,Australia,,-35.279148,149.131408,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/2161974913,Community-mapped
osm-au-node-11974077342,Bupa Optical,Mapped,Australia,ACT,,,"Benjamin Way, Australia",,-35.2380552,149.0669499,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/11974077342,Community-mapped
osm-au-node-8515803402,Eye Candy,Mapped,Australia,ACT,,,Australia,,-35.2725291,149.1331551,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/8515803402,Community-mapped
osm-au-node-2161972681,MacKinley Optical,Mapped,Australia,ACT,,,Australia,,-35.2794781,149.131668,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/2161972681,Community-mapped
osm-au-node-1896332017,Optorica,Mapped,Australia,ACT,,,Australia,,-35.3397802,149.0521684,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/1896332017,Community-mapped
osm-au-node-3981216558,1001 Optical,Mapped,Australia,NSW,,,Australia,,-33.8766872,151.2063955,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/3981216558,Community-mapped
osm-au-node-12769119364,Blue Frog Optics,Mapped,Australia,NSW,,,Australia,,-31.9578837,141.4659196,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/12769119364,Community-mapped
osm-au-way-566960696,Brennan & Smith Optometrists,Mapped,Australia,NSW,,,"180 Beardy Street, Australia",,-30.513573,151.6658708,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/way/566960696,Community-mapped
osm-au-node-12803835793,Bupa Optical,Mapped,Australia,NSW,,,Australia,,-33.768156,151.2661442,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/12803835793,Community-mapped
osm-au-way-496416221,Bupa Optical,Mapped,Australia,NSW,,,Australia,,-32.9429091,151.7111788,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/way/496416221,Community-mapped
osm-au-node-4491736791,Bupa Optical & Hearing,Mapped,Australia,NSW,,,Australia,,-33.7955379,151.1851698,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4491736791,Community-mapped
osm-au-node-4547826400,Chestr Hill Optical,Mapped,Australia,NSW,,,Australia,,-33.883048,150.9989612,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4547826400,Community-mapped
osm-au-node-4546298895,City Specs,Mapped,Australia,NSW,,,Australia,,-33.9210628,150.9241635,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4546298895,Community-mapped
osm-au-way-423230858,Dresden Vision,Mapped,Australia,NSW,,,"278 King Street, Australia",+61 2 5300 3003,-33.8962627,151.180773,https://dresden.vision/au/stores/newtown,https://dresden.vision/au/stores/newtown,,,,Optical / optician listing,false,https://www.openstreetmap.org/way/423230858,Community-mapped
osm-au-node-11106950103,Eye Care Casino,Mapped,Australia,NSW,,,"76 Barker Street, Australia",,-28.8642438,153.0453362,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/11106950103,Community-mapped
osm-au-node-8512027148,Eye Catchers,Mapped,Australia,NSW,,,Australia,,-33.7952636,151.1853505,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/8512027148,Community-mapped
osm-au-node-2613244951,Eye care Optometrist,Mapped,Australia,NSW,,,Australia,,-34.0546197,151.151824,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/2613244951,Community-mapped
osm-au-node-12706665276,EyeQ,Mapped,Australia,NSW,,,Australia,,-34.6383705,148.0246682,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/12706665276,Community-mapped
osm-au-node-4678091420,Eyecare on Q,Mapped,Australia,NSW,,,Australia,+61 2 6299 2020,-35.3512981,149.2331395,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4678091420,Community-mapped
osm-au-node-11898341739,Eyedealeyes Optometrist,Mapped,Australia,NSW,,,Australia,,-33.9142715,151.1530678,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/11898341739,Community-mapped
osm-au-node-5893744923,Eyes in Design,Mapped,Australia,NSW,,,Australia,,-33.8861234,151.2733351,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/5893744923,Community-mapped
osm-au-node-4996717724,Flanders and Smith,Mapped,Australia,NSW,,,Australia,,-34.3139009,148.2993861,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4996717724,Community-mapped
osm-au-node-10866980758,Florentine Eyewear,Mapped,Australia,NSW,,,Australia,,-33.9081277,150.9212848,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/10866980758,Community-mapped
osm-au-node-7176563988,Forestway Optometry,Mapped,Australia,NSW,,,Australia,,-33.7388677,151.2101153,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/7176563988,Community-mapped
osm-au-node-11751506894,George & Matilda Eyecare for Optique,Mapped,Australia,NSW,,,Australia,,-33.8772797,151.2434838,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/11751506894,Community-mapped
osm-au-node-2755159686,George & Matilda Eyecare for Optique,Mapped,Australia,NSW,,,Australia,,-33.8713691,151.2255679,https://georgeandmatilda.com.au/stores/george-and-matilda-eyecare-for-optique-potts-point/,https://georgeandmatilda.com.au/stores/george-and-matilda-eyecare-for-optique-potts-point/,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/2755159686,Community-mapped
osm-au-node-9894830475,George and Matilda Eyecare,Mapped,Australia,NSW,,,Australia,,-33.8232525,151.1942819,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/9894830475,Community-mapped
osm-au-node-9318665504,Glamoureyes,Mapped,Australia,NSW,,,Australia,,-33.7570576,150.6929493,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/9318665504,Community-mapped
osm-au-node-8460982632,HCF Eyecare Centres,Mapped,Australia,NSW,,,Australia,,-33.8165647,151.0008465,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/8460982632,Community-mapped
osm-au-node-4353406489,Hornsby Optical,Mapped,Australia,NSW,,,Australia,,-33.704036,151.1015408,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4353406489,Community-mapped
osm-au-node-13889357142,Hunter Eye Surgeons,Mapped,Australia,NSW,,,Australia,,-32.7606645,151.5910751,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/13889357142,Community-mapped
osm-au-node-13670708403,J & J Optical,Mapped,Australia,NSW,,,Australia,+61 2 4933 0055,-32.7613793,151.5900137,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/13670708403,Community-mapped
osm-au-node-4789534885,Kellyville Optical,Mapped,Australia,NSW,,,Australia,,-33.7132082,150.9718462,,,,,,Optical / optician listing,false,https://www.openstreetmap.org/node/4789534885,Community-mapped
