id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
lismore,Laubman & Pank Lismore,Active,Australia,NSW,Lismore,2480,"160 Molesworth Street, Lismore, NSW, 2480",(02) 6621 5197,-28.808567480364,153.27620178464,https://www.laubmanandpank.com.au/store/lismore,,false,https://www.laubmanandpank.com.au/store-finder
cairns-optometrist,Laubman & Pank Cairns,Active,Australia,QLD,Cairns,4870,"Shop 134, Cairns Central Shopping Centre, Cnr Mcleod St & Spence St, Cairns, QLD, 4870",(07) 4051 7776,-16.9262192,145.774272,https://www.laubmanandpank.com.au/store/cairns-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
capalaba-optometrist,Laubman & Pank Capalaba,Active,Australia,QLD,Capalaba,4157,"Shop 30, Capalaba Park Shopping Centre, 7-45 Redland Bay Rd, Capalaba, QLD, 4157",(07) 3245 2466,-27.524676,153.190947,https://www.laubmanandpank.com.au/store/capalaba-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
carindale-optometrist,Laubman & Pank Carindale,Active,Australia,QLD,Carindale,4152,"1151 Creek Rd, Westfield Carindale, Carindale, QLD, 4152",(07) 3324 8914,-27.5030925,153.1019724,https://www.laubmanandpank.com.au/store/carindale-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
chermside-optometrist,Laubman & Pank Chermside,Active,Australia,QLD,Chermside,4032,"Shop 236, Westfield Chermside, 395 Hamilton Rd, Chermside, QLD, 4032",(07) 3359 2411,-27.386566,153.031904,https://www.laubmanandpank.com.au/store/chermside-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
indooroopilly-optometrist,Laubman & Pank Indooroopilly,Active,Australia,QLD,Indooroopilly,4068,"Shop 3011, Indooroopilly Shopping Centre, 322 Moggill Rd, Indooroopilly, QLD, 4068",(07) 3878 4503,-27.499502,152.972846,https://www.laubmanandpank.com.au/store/indooroopilly-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
ipswich-optometrist,Laubman & Pank Ipswich,Active,Australia,QLD,Ipswich,4305,"Shop 26, Riverlink Shopping Centre, Cnr Down St & The Terrace, Ipswich, QLD, 4305",(07) 3281 1505,-27.6140934,152.7584716,https://www.laubmanandpank.com.au/store/ipswich-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
mackay-caneland-optometrist,Laubman & Pank Mackay Canelands,Active,Australia,QLD,Mackay,4740,"Shop GD 2445, Canelands Central Shopping Centre, 2 Mangrove Rd, Mackay, QLD, 4740",(07) 4953 2739,-21.138612,149.178397,https://www.laubmanandpank.com.au/store/mackay-caneland-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
mackay-optometrist,Laubman & Pank Mackay Sydney Street Markets,Active,Australia,QLD,Mackay,4740,"Shop 13 & 14, Sydney Street Markets, , Mackay, QLD, 4740",(07) 4953 1444,-21.14121,149.185625,https://www.laubmanandpank.com.au/store/mackay-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
brookside-optometrist,Laubman & Pank Brookside Mitchelton,Active,Australia,QLD,Mitchelton,4053,"Shop 76B, Brookside Shopping Centre, 159 Osborne Rd, Mitchelton, QLD, 4053",(07) 3855 2566,-27.409147511503,152.97936201096,https://www.laubmanandpank.com.au/store/brookside-optometrist,,false,https://www.laubmanandpank.com.au/store-finder
