id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
55695732,Matthews Eyecare (formerly Harrison and Matthews),Active,New Zealand,Auckland,Auckland,1011,"1 Jervois Road, Ponsonby, Auckland, 1011, New Zealand",(09) 376 2565,-36.8458007,174.7410496,https://matthews.co.nz/practices/auckland-city/,,false,https://matthews.co.nz/practices/
WLXfKmCsTgWwYhS77Bx1Sw,Parker & Co,Active,New Zealand,Auckland,Auckland,1023,"9 Teed Street, Newmarket, Auckland, 1023, New Zealand",(09) 524 8828,-36.8691691,174.7767505,https://www.parkerandco.nz/,,false,https://matthews.co.nz/practices/
X9Qi9sOYQg-I582_-n5IHg,Orewa Optics,Active,New Zealand,Auckland,Orewa,0931,"10 Bakehouse Lane, Orewa, 0931, New Zealand",(09) 426 6646,-36.5857596,174.6914965,https://orewaoptics.co.nz/,,false,https://matthews.co.nz/practices/
Vcg1qaVdRci6CYiGUv1ykA,"Matthews Vision Care, Tauranga",Active,New Zealand,Bay of Plenty,Tauranga,3112,"157 Chadwick Road, Greerton, Tauranga, 3112, New Zealand",(07) 577 0113,-37.6859006,176.1675050,https://matthews.co.nz/practices/matthews-vision-care-tauranga/,,false,https://matthews.co.nz/practices/
164485380,Matthews Eyecare,Active,New Zealand,Bay of Plenty,Te Puke,3119,"80 Jellicoe Street, Te Puke, 3119, New Zealand",(07) 573 8999,-37.7853294,176.3270238,https://matthews.co.nz/practices/te-puke/,,false,https://matthews.co.nz/practices/
56792215,Matthews Eyecare,Active,New Zealand,Canterbury,Christchurch,8023,"50 The Tannery, 3 Garlands Rd, Woolston, Christchurch, 8023, New Zealand",(03) 341 4850,-43.5309550,172.6364343,https://matthews.co.nz/practices/christchurch/,,false,https://matthews.co.nz/practices/
120105921,Matthews & Hassan Optometrists,Active,New Zealand,Marlborough,Blenheim,7201,"The Forum, Unit 4, 48 Market Street, Blenheim, 7201, New Zealand",(03) 578 5880,-41.5120990,173.9560691,https://matthews.co.nz/practices/blenheim/,,false,https://matthews.co.nz/practices/
W_7XvdUeTGSYm87lGtKnHw,Noel Templeton Optometrists,Active,New Zealand,Marlborough,Blenheim,7201,"31 George Street, Blenheim, 7201, New Zealand",(03) 578 2939,-41.5145060,173.9535829,https://matthews.co.nz/practices/blenheim-noel-templeton-optometrists/,,false,https://matthews.co.nz/practices/
56812204,Matthews Eyecare,Active,New Zealand,Nelson,Nelson,7010,"1 Buxton Square, Nelson, 7010, New Zealand",(03) 548 3249,-41.2739496,173.2861460,https://matthews.co.nz/practices/nelson/,,false,https://matthews.co.nz/practices/
aePVyAsOS-my1Du-ENsu_Q,Kerikeri Optometrists,Active,New Zealand,Northland,Kerikeri,0230,"John Butler Centre, 60 Kerikeri Road, Kerikeri, 0230, New Zealand",(09) 401 7355,-35.2272607,173.9491061,https://matthews.co.nz/practices/oamaru-eyecare/,,false,https://matthews.co.nz/practices/
56793134,Matthews & Cook Eyecare,Active,New Zealand,Northland,Whangarei,0112,"132 Bank Street, Regent, Whangarei, 0112, New Zealand",(09) 438 2567,-35.7275268,174.3194202,https://matthews.co.nz/practices/whangarei/,,false,https://matthews.co.nz/practices/
120105905,Matthews Eyecare (Formerly Bridgmount & Matthews),Active,New Zealand,Otago,Dunedin,9012,"160 King Edward Street, Dunedin, 9012, New Zealand",(03) 455 3459,-45.8740984,170.5035755,https://matthews.co.nz/practices/dunedin/,,false,https://matthews.co.nz/practices/
159009135,Oamaru Eyecare,Active,New Zealand,Otago,Oamaru,9400,"413 Thames Highway, Oamaru, 9400, New Zealand",(03) 437 0707,-45.0999833,170.9697933,https://matthews.co.nz/practices/oamaru-eyecare/,,false,https://matthews.co.nz/practices/
122878592,Matthews Central Vision,Active,New Zealand,Otago,Wānaka,9305,"23 Cardrona Valley Road, Wānaka, 9305, New Zealand",(03) 443 0736,-44.6941691,169.1364637,https://matthews.co.nz/practices/wanaka-matthews-eyecare/,,false,https://matthews.co.nz/practices/
156549769,Matthews Eyecare Southland,Active,New Zealand,Southland,Invercargill,9810,"76 Kelvin Street, Invercargill, 9810, New Zealand",(03) 218 6600,-46.4118465,168.3470632,https://matthews.co.nz/practices/invercargill/,,false,https://matthews.co.nz/practices/
156549757,Southland Eyecare,Active,New Zealand,Southland,Te Anau,9600,"25 Luxmore Drive, Te Anau, 9600, New Zealand",(03) 249 8946,-45.4144900,167.7174890,https://matthews.co.nz/practices/te-anau-southland-eyecare/,,false,https://matthews.co.nz/practices/
120000624,Matthews Eyecare,Active,New Zealand,Taranaki,New Plymouth,4310,"100 Devon Street East, New Plymouth, 4310, New Zealand",(06) 759 4126,-39.0579941,174.0806474,https://matthews.co.nz/practices/new-plymouth/,,false,https://matthews.co.nz/practices/
dQJmHt3lRpeh9JOwudbWyA,Matthews Eyecare,Active,New Zealand,Taranaki,Ōpunake,4616,"By appointment only. Book via Email or Phone., 20/26 Napier Street, Ōpunake, 4616, New Zealand",(06) 759 4126,-39.4546624,173.8601616,https://matthews.co.nz/practices/opunake/,,false,https://matthews.co.nz/practices/
120106031,Matthews Eyecare,Active,New Zealand,Tasman,Motueka,7120,"217 High Street, Motueka, 7120, New Zealand",(03) 528 8724,-41.1124930,173.0094875,https://matthews.co.nz/practices/motueka/,,false,https://matthews.co.nz/practices/
120105925,Matthews Eyecare,Active,New Zealand,Tasman,Richmond,7020,"15 Sundial Square, Richmond, 7020, New Zealand",(03) 544 4319,-41.3380953,173.1872264,https://matthews.co.nz/practices/richmond/,,false,https://matthews.co.nz/practices/
D6EWCffaT2yKNB0WG7FXqg,Tākaka - Matthews Eyecare,Active,New Zealand,Tasman,Tākaka,7120,"By appointment only, Golden Bay Community Health, Tākaka, 7120, New Zealand",(03) 528 8724,-40.8574983,172.8062424,https://matthews.co.nz/practices/takaka/,,false,https://matthews.co.nz/practices/
120000583,Matthews Eyecare,Active,New Zealand,Waikato,Cambridge,3434,"33 Duke Street, Cambridge, 3434, New Zealand",(07) 827 6597,-37.8917889,175.4691069,https://matthews.co.nz/practices/cambridge/,,false,https://matthews.co.nz/practices/
120000658,"Bell, Neuhauser & Matthews",Active,New Zealand,Waikato,Hamilton,3204,"456 Anglesea Street, Hamilton, 3204, New Zealand",(07) 838 3454,-37.7837183,175.2767211,https://matthews.co.nz/practices/hamilton/,,false,https://matthews.co.nz/practices/
Cbhc57urQOO_mDW3hQ4LTA,Formerly Ross Gordon Optometrists,Active,New Zealand,Waikato,Taupo,3330,"66 Ruapehu Street, Taupo, 3330, New Zealand",(07) 378 7529,-38.6866197,176.0694773,https://matthews.co.nz/practices/taupo/,,false,https://matthews.co.nz/practices/
120000629,Matthews Eyecare,Active,New Zealand,Waikato,Te Awamutu,3800,"2/406 Alexandra Street, Te Awamutu, 3800, New Zealand",(07) 871 7741,-38.0101564,175.3257827,https://matthews.co.nz/practices/teawamutu/,,false,https://matthews.co.nz/practices/
AxXyzSQbSp6Mu2HhFZG7Mw,King Country Optometrists,Active,New Zealand,Waikato,Te Kūiti,3910,"89 Rora Street, Te Kūiti, 3910, New Zealand",0800 8788819,-38.3341925,175.1657117,https://matthews.co.nz/practices/te-kuiti/,,false,https://matthews.co.nz/practices/
120000610,Grylls & Matthews Optometrists,Active,New Zealand,Wellington,Paraparaumu,5032,"8A Ihakara Street, Paraparaumu, 5032, New Zealand",(04) 298 4426,-40.9144636,175.0061963,https://matthews.co.nz/practices/kapiti/,,false,https://matthews.co.nz/practices/
120000641,Sangster & Matthews,Active,New Zealand,Wellington,Wellington,6011,"56 The Terrace, Ground Floor Aurora House, Wellington, 6011, New Zealand",(04) 472 4010,-41.2809477,174.7747692,https://matthews.co.nz/practices/wellington/,,false,https://matthews.co.nz/practices/
