id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
adelaide-5000,Optical by National Pharmacies Adelaide,Active,Australia,SA,Adelaide,5000,"Lower Ground Floor, 52 Gawler Place, Adelaide, SA, 5000",08 8223 0382,-34.9281805,138.5999312,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
blackwood-5051,Optical by National Pharmacies Blackwood,Active,Australia,SA,Blackwood,5051,"Shop 4, 239 Main Road, Blackwood, SA, 5051",08 8278 7578,-35.0124829,138.6218366,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
christies-beach-5165,Optical by National Pharmacies Christies Beach,Active,Australia,SA,Christies Beach,5165,"Christies Beach Shopping Centre, 70 Beach Road, Christies Beach, SA, 5165",08 8382 9100,-35.1395801,138.4697587,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
cumberland-park-5041,Optical by National Pharmacies Cumberland Park,Active,Australia,SA,Cumberland Park,5041,"380 Goodwood Road, Cumberland Park, SA, 5041",08 8223 0397,-34.9698250,138.5910346,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
findon-5023,Optical by National Pharmacies Findon,Active,Australia,SA,Findon,5023,"Findon Shopping Centre, 303 Grange Road, Findon, SA, 5023",08 8353 0700,-34.8994630,138.5314438,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
gawler-5118,Optical by National Pharmacies Gawler,Active,Australia,SA,Gawler,5118,"Gawler Central Shopping Centre, Cnr Murray and Cowan Street, Gawler, SA, 5118",08 8522 4221,-34.5973311,138.7448933,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
glenelg-5045,Optical by National Pharmacies Glenelg,Active,Australia,SA,Glenelg,5045,"Shop 6/108-116 Jetty Road, Glenelg SA 5045, Australia",08 8295 5311,-34.9793821,138.5197258,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
glenunga-5064,Optical by National Pharmacies Glenunga,Active,Australia,SA,Glenunga,5064,"297 Glen Osmond Road, Glenunga, SA, 5064",08 8379 9250,-34.9505888,138.6392041,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
golden-grove-5125,Optical by National Pharmacies Golden Grove,Active,Australia,SA,Golden Grove,5125,"Shop 74, The Grove Shopping Centre, The Golden Way, Golden Grove, 5125, SA",08 8251 3700,-34.7773871,138.7290659,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
marden-5070,Optical by National Pharmacies Marden,Active,Australia,SA,Marden,5070,"Shop F, Cnr Lower Portrush & Payneham Road, Marden, SA, 5070",08 8340 6750,-34.8925643,138.6347392,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
marion-5046,Optical by National Pharmacies Marion,Active,Australia,SA,Marion,5046,"Shop 1037, Westfield Marion, 297 Diagonal Road, Oaklands Park, SA, 5046",08 8358 3208,-35.0163249,138.5455919,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
modbury-5092,Optical by National Pharmacies Modbury,Active,Australia,SA,Modbury,5092,"Tea Tree Plus, Shop 10/1020 North East Road, Modbury, SA, 5092",08 8396 5880,-34.8338962,138.6851156,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
mt-barker-5251,Optical by National Pharmacies Mt Barker,Active,Australia,SA,Mt Barker,5251,"Shop 5, Barker Plaza, Cnr Hutchinson and Morphett Street, Mount Barker, SA, 5251",08 8391 0413,-35.0641302,138.8586385,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
newton-5074,Optical by National Pharmacies Newton,Active,Australia,SA,Newton,5074,"shop 6 60/64 Gorge Rd, Newton SA 5074, Australia",08 8336 4733,-34.8820277,138.6824021,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
north-adelaide-5006,Optical by National Pharmacies North Adelaide,Active,Australia,SA,North Adelaide,5006,"88 O'Connell St, North Adelaide SA 5006, Australia",08 8353 4500,-34.9065431,138.5965714,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
norwood-5067,Optical by National Pharmacies Norwood,Active,Australia,SA,Norwood,5067,"158 The Parade, Norwood, SA, 5067",08 8364 3782,-34.9213211,138.6333716,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
torrensville-5031,Optical by National Pharmacies Torrensville,Active,Australia,SA,Torrensville,5031,"190 Henley Beach Road, Torrensville, SA, 5031",08 8234 2577,-34.9240290,138.5599290,https://www.nationalpharmacies.com.au/optical-booking/,,false,https://www.nationalpharmacies.com.au/optical-booking/
