name,sap_id,identifier,country,state,city,postal_code,full_address,phone,latitude,longitude,services,hours,official_url,status,audiology
OPSM Albany,1309,OPSM Albany_1309,New Zealand,Auckland,Albany,0632,"219 Don Mckinnon Dr, Albany, AKL, 0632",(09) 414 0214,-36.72871,174.70773,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM Auckland Manukau,1689,OPSM Auckland Manukau_1689,New Zealand,Auckland,Auckland,2104,"Great South Rd &amp; Wiri Station Rd, Auckland, AKL, 2104",(09) 263 7605,-36.99147,174.88192,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM Mt Eden,4712,OPSM Mt Eden_4712,New Zealand,Auckland,Auckland,1023,"Mt Eden Road, Auckland, AUK, 1023",09 630 3280,-36.882,174.7623,Dry Eye,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Queen Street Auckland,1612,OPSM Queen Street Auckland_1612,New Zealand,Auckland,Auckland,1010,"155A Queen Street  NZ, Auckland, AKL, 1010",(09) 303 3042,-36.85045,174.76513,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Remuera,1682,OPSM Remuera_1682,New Zealand,Auckland,Auckland,1050,"395 Remuera Rd, Auckland, AKL, 1050",(09) 520 3155,-36.88088,174.79849,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 10:00-17:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Botany Downs,1630,OPSM Botany Downs_1630,New Zealand,Auckland,Botany Downs,2013,"Town Centre Dr, Botany Downs, AKL, 2013",(09) 271 0361,-36.93377,174.913,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Browns Bay,1692,OPSM Browns Bay_1692,New Zealand,Auckland,Browns Bay,0630,"30 Clyde Rd, Browns Bay, AKL, 0630",(09) 478 6453,-36.71594,174.74809,"Kids Vision Centre, Collect & Return",Mon: closed; Tue: 17:30-09:00; Wed: 17:30-09:00; Thu: 17:30-09:00; Fri: 17:30-09:00; Sat: 17:30-closed; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM Lincoln North,2833,OPSM Lincoln North_2833,New Zealand,Auckland,Henderson,0610,"192 Universal Dr, Henderson, AKL, 0610",(09) 837 2627,-36.85577,174.62935,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: closed; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
OPSM West City,1642,OPSM West City_1642,New Zealand,Auckland,Henderson,0612,"7 Catherine St, Henderson, AKL, 0612",(09) 836 6169,-36.8811,174.6322,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM Northwest,2929,OPSM Northwest_2929,New Zealand,Auckland,Massey,0814,"Maki St, Massey, AKL, 0814",(09) 974 0766,-36.81766,174.61109,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 09:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Milford,1684,OPSM Milford_1684,New Zealand,Auckland,Milford,0620,"SHOP WH04B, 24 MILFORD RD, Milford, AKL, 0620",(09) 489 8070,-36.77095,174.7653,Audiology,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 10:00-17:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,true
OPSM St Lukes,1687,OPSM St Lukes_1687,New Zealand,Auckland,Mount Albert,1025,"80 St Lukes Rd, Mount Albert, AKL, 1025",(09) 846 9102,-36.88267,174.73334,"Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 10:00-17:30,https://www.opsm.co.nz/find-store,Active,false
OPSM Sylvia Park,2911,OPSM Sylvia Park_2911,New Zealand,Auckland,Mount Wellington,1060,"286 Mount Wellington Hwy, Mount Wellington, AKL, 1060",(09) 974 0044,-36.91788,174.842,Collect & Return,Mon: 09:00-19:00; Tue: 09:00-19:00; Wed: 09:00-19:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-19:00; Sun: 09:00-19:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Lynnmall,1686,OPSM Lynnmall_1686,New Zealand,Auckland,New Lynn,0600,"3058 Great North Rd, New Lynn, AKL, 0600",(09) 827 7585,-36.90819,174.68537,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-18:00; Sun: 09:00-18:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Auckland Newmarket,1646,OPSM Auckland Newmarket_1646,New Zealand,Auckland,Newmarket,1023,"277 Broadway Newmarket, Newmarket, AKL, 1023",(09) 524 8850,-36.871,174.77659,Collect & Return,Mon: 09:00-19:00; Tue: 09:00-19:00; Wed: 09:00-19:00; Thu: 09:00-21:00; Fri: 09:00-21:00; Sat: 09:00-19:00; Sun: 10:00-19:00,https://www.opsm.co.nz/find-store,Active,false
OPSM Papakura,1602,OPSM Papakura_1602,New Zealand,Auckland,Papakura,2110,"143 Great South Rd, Papakura, AKL, 2110",(09) 298 5340,-37.0624,174.94189,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed,https://www.opsm.co.nz/find-store,Active,false
