name,sap_id,identifier,state,city,postal_code,address_1,address_2,address_3,full_address,phone,fax,latitude,longitude,services,hours
OPSM Belconnen,1221,OPSM Belconnen_1221,ACT,Belconnen,2617,3 Benjamin Way,,,"3 Benjamin Way, Belconnen, ACT, 2617",(02) 6251 4245,(02) 6251 6886,-35.23839,149.06656,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-21:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Canberra,1029,OPSM Canberra_1029,ACT,Canberra,2601,Bunda St,,,"Bunda St, Canberra, ACT, 2601",(02) 6249 7344,(02) 6247 8597,-35.28001,149.13431,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-21:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Gungahlin,1121,OPSM Gungahlin_1121,ACT,Gungahlin,2912,30 Hibbersen St,,,"30 Hibbersen St, Gungahlin, ACT, 2912",(02) 6241 7933,(02) 6255 4191,-35.18548,149.1332,"Audiology, Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-21:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Tuggeranong,1009,OPSM Tuggeranong_1009,ACT,Tuggeranong,2900,Cnr Pitman St &amp; Anketell St,,,"Cnr Pitman St &amp; Anketell St, Tuggeranong, ACT, 2900",(02) 6293 1133,(02) 6293 1334,-35.41651,149.06704,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-19:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Weston,2265,OPSM Weston_2265,ACT,Weston Creek,2611,Brierly St,,,"Brierly St, Weston Creek, ACT, 2611",(02) 6288 0599,(02) 6288 0598,-35.34148,149.05272,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-19:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Woden,1226,OPSM Woden_1226,ACT,Woden Valley,2606,Keltie St,,,"Keltie St, Woden Valley, ACT, 2606",(02) 6282 1043,(02) 6282 3724,-35.34644,149.0855,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-21:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Albury,1017,OPSM Albury_1017,NSW,Albury,2640,569 Dean St,,,"569 Dean St, Albury, NSW, 2640",(02) 6021 3381,(02) 6041 5310,-36.08091,146.91603,"Audiology, Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 08:30-16:00; Sun: closed
OPSM Armidale,1108,OPSM Armidale_1108,NSW,Armidale,2350,Cnr Beardy &amp; Jessie St,,,"Cnr Beardy &amp; Jessie St, Armidale, NSW, 2350",(02) 6772 3242,(02) 6772 8301,-30.51218,151.66266,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Ashfield,1175,OPSM Ashfield_1175,NSW,Ashfield,2131,260A Liverpool Rd,,,"260A Liverpool Rd, Ashfield, NSW, 2131",(02) 9798 0645,(02) 9716 4813,-33.88953,151.12414,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Balgowlah,2986,OPSM Balgowlah_2986,NSW,Balgowlah,2093,197-215 Condamine St,,,"197-215 Condamine St, Balgowlah, NSW, 2093",(02) 9949 5023,(02) 9907 8263,-33.79323,151.26431,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
