id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
60368,Canberra City,Active,Australia,ACT,Canberra,2601,"28/36 Ainslie Pl, Canberra, ACT, 2601",(02) 6230 4966,-35.281042,149.131968,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60370,Coffs Harbour,Active,Australia,NSW,Coffs Harbour,2450,"26/253 Pacific Hwy, Coffs Harbour, NSW, 2450",(02) 6651 6677,-30.283759,153.131094,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60372,Gymea,Active,Australia,NSW,Gymea,2227,"102 Gymea Bay Rd,, Gymea, NSW, 2227",(02) 9542 8722,-34.036985,151.084785,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60374,Nowra,Active,Australia,NSW,Nowra,2541,"109/111 Junction St,, Nowra, NSW, 2541",(02) 4422 4808,-34.874256,150.602129,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60376,Port Macquarie,Active,Australia,NSW,Port Macquarie,2444,"5/113 Horton St,, Port Macquarie, NSW, 2444",(02) 6583 2535,-31.431982,152.908043,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
63125,Shellharbour – Stockland,Active,Australia,NSW,Shellharbour,2529,"Shop 2, 15-17 College Ave,, Shellharbour, NSW, 2529",(02) 4295 3388,-34.567348,150.836353,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60378,Wagga Wagga – Baylis st,Active,Australia,NSW,Wagga Wagga,2650,"Unit 1/80-84 Baylis St,, Wagga Wagga, NSW, 2650",(02) 6931 7333,-35.115403,147.369231,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60380,Alice Plaza S/C,Active,Australia,NT,Alice Springs,0870,"Shop 36,, Alice Plaza Shopping Centre,, Alice Springs, NT, 0870",(08) 8953 0955,-23.698236,133.883058,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
63127,Casuarina,Active,Australia,NT,Casuarina,0810,"Shop GD 094/247,, Casuarina Square,, Casuarina, NT, 0810",(08) 8945 7211,-12.378357,130.847239,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60382,Gateway S/C,Active,Australia,NT,Palmerston City,0830,"Shop 61,, Gateway Shopping Centre,, Palmerston City, NT, 0830",(08) 8932 2235,-12.472263,130.982933,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
63133,Inala,Active,Australia,QLD,"156 Inala Avenue,",4077,"Shop 18,, Inala Plaza Shopping Centre,, 156 Inala Avenue,, QLD, 4077",07 3548 7958,-27.598165,152.974013,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
61305,Townsville – Aitkenvale,Active,Australia,QLD,Aitkenvale,4814,"Inside the Queensland Country Bank,, Building 7/333 Ross River Rd,, Aitkenvale, QLD, 4814",(07) 4728 5866,-19.297922,146.762081,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60356,Arana Hills Plaza,Active,Australia,QLD,Arana Hills,4054,"Shop 9A,, Arana Hills Plaza Cnr Patricks Road &,, Arana Hills, QLD, 4054",(07) 3186 4674,-27.411966,152.954983,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60461,Robinson Road Marketplace,Active,Australia,QLD,Aspley,4032,"Shop 14,, Robinson Road Marketplace,, Aspley, QLD, 4032",(07) 3359 7199,-27.385023,153.032038,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60452,Bundaberg,Active,Australia,QLD,Bundaberg Central,4670,"149 Bourbong St,, Bundaberg Central, QLD, 4670",(07) 4152 2506,-24.865563,152.348846,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60458,Capalaba,Active,Australia,QLD,Capalaba,4157,"Shop 83A,, Capalaba Park Shopping Centre,, Capalaba, QLD, 4157",(07) 3245 5422,-27.524364,153.190848,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60358,MKT Square S/C – Deception Bay,Active,Australia,QLD,Deception Bay,4508,"Shop 1, Market Square Deception Bay Cnr Deception Bay Road,, Deception Bay, QLD, 4508",(07) 3186 4670,-27.185932,153.020645,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
61175,Elanora – The Pines S/C,Active,Australia,QLD,Elenora,4221,"Shop 211,, The Pines Shopping Centre,, Elenora, QLD, 4221",(07) 5525 0500,-28.133942,153.468128,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60463,Hervey Bay – Stockland,Active,Australia,QLD,Hervey Bay,4655,"Shop 113,, Stockland Hervey Bay,, Hervey Bay, QLD, 4655",(07) 4194 1998,-25.289954,152.835112,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60466,Townsville – Castletown S/C,Active,Australia,QLD,Hyde Park,4812,"Castletown Shopping Centre,, Hyde Park, QLD, 4812",(07) 4724 1961,-19.27182,146.790715,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60362,Kippa-Ring – Peninsular Fair S/C,Active,Australia,QLD,Kippa-Ring,4021,"Shop K03,, Peninsular Fair Shopping Centre,, Kippa-Ring, QLD, 4021",(07) 3283 2448,-27.226990,153.089050,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60505,Hyperdome S/C,Active,Australia,QLD,Loganholme,4129,"Shop 71 Bryants Rd,, Loganholme, QLD, 4129",(07) 3801 5366,-27.658234,153.170601,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60690,Mackay – Canelands S/C,Active,Australia,QLD,Mackay,4740,"Shop 2509,, Caneland Shopping Centre Cnr Mangrove &,, Mackay, QLD, 4740",(07) 4957 6066,-21.138734,149.178164,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60454,DFO Carins,Active,Australia,QLD,Manunda,4870,"Shop 218A, DFO Cairns, 274 Mulgrave Road Westcourt, Manunda, QLD, 4870",(07) 4032 2430,-16.933554,145.752978,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60821,Maroochydore,Active,Australia,QLD,Maroochydore,4558,"The Optical Superstore Shop 8A,, 52-54 Baden Powell Street,, Maroochydore, QLD, 4558",(07) 5479 0575,-26.651618,153.087021,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60919,Q Super Centre,Active,Australia,QLD,Mermaid Waters,4218,"Shop 34A,, Q Super Centre Cnr Bermuda and,, Mermaid Waters, QLD, 4218",(07) 5526 5284,-28.045434,153.407557,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60450,Brookside S/C,Active,Australia,QLD,Mitchelton,4053,"Brookside Shopping Centre,, Shop 39,, Mitchelton, QLD, 4053",(07) 3355 7032,-27.40906,152.979146,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
61034,Morayfield S/C,Active,Australia,QLD,Morayfield,4506,"Shop 205 Morayfield Shopping Centre,, 171 Morayfield Rd,, Morayfield, QLD, 4506",(07) 5499 0858,-27.102552,152.950562,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
60456,Cairns – Mt Sheridan,Active,Australia,QLD,Mount Sheridan,4868,"106 Barnard Dr,, Mount Sheridan, QLD, 4868",(07) 4033 2777,-16.989845,145.740277,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
61163,Mt. Gravatt Plaza,Active,Australia,QLD,Mt Gravatt,4122,"Shop 16,, Mt Gravatt Plaza,, Mt Gravatt, QLD, 4122",(07) 3349 5930,-27.539274,153.082303,https://opticalsuperstore.com.au/find-your-nearest-store/,,false,https://opticalsuperstore.com.au/find-your-nearest-store/
