name,id,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,status
Westfield Belconnen,124,Australia,ACT,Belconnen,2617,"Shop 9, Westfield Belconnen, Benjamin Way, Belconnen ACT 2617",(02) 6193 2872,-35.238241715655,149.06541696888,https://www.oscarwylee.com.au/locations/locations/optometrist-belconnen.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Canberra Centre,12,Australia,ACT,Canberra,2601,"Canberra Centre Shop CG33, Ground Level 148 Bunda Street Canberra ACT 2601",(02) 6101 6623,-35.2799353,149.1317605,https://www.oscarwylee.com.au/locations/locations/optometrist-canberra-centre.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
South Point Tuggeranong,73,Australia,ACT,Greenway,2900,"South Point Tuggeranong, Anketell St. &, Reed St N, Greenway ACT 2900",02 6193 9431,-35.416167,149.068419,https://www.oscarwylee.com.au/locations/locations/optometrist-tuggeranong.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Woden,135,Australia,ACT,Phillip,2606,"Shop GD53 Westfield Woden, Keltie St, Phillip ACT 2606",(02) 5136 5218,-35.345359868025,149.08559973123,https://www.oscarwylee.com.au/locations/locations/optometrist-woden.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Albury,80,Australia,NSW,Albury,2640,"549 Dean St, Albury NSW 2640",(02) 6066 9903,-36.080534652675,146.91637548095,https://www.oscarwylee.com.au/locations/locations/optometrist-albury.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Bankstown Central,145,Australia,NSW,Bankstown,2200,"Bankstown Central, Shop 188 North Terrace, Bankstown NSW 2200",(02) 7208 7796,-33.914672152252,151.039121,https://www.oscarwylee.com.au/locations/locations/optometrist-bankstown.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westpoint Blacktown,34,Australia,NSW,Blacktown,2148,"Shop 3054, Westpoint Shopping Centre, 17 Patrick St, Blacktown NSW 2148",(02) 8809 5869,-33.7709955,150.9041113,https://www.oscarwylee.com.au/locations/locations/optometrist-blacktown.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Warringah Mall,7,Australia,NSW,Brookvale,2100,"Shop 1075A, Warringah Westfield, Condamine St & Old Pittwater Rd, Brookvale NSW 2100, Australia",02 8057 5758,-33.7679142,151.2625944,https://www.oscarwylee.com.au/locations/locations/optometrist-warringah-mall.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Westfield Burwood,65,Australia,NSW,Burwood,2134,"Shop 118 Westfield Burwood 100 Burwood Road Burwood, NSW, 2134",(02) 8540 4496,-33.874271,151.105829,https://www.oscarwylee.com.au/locations/locations/optometrist-burwood.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
Macarthur Square,46,Australia,NSW,Campbelltown,2560,"Shop L02 L068, Macarthur Square 200 Gilchrist Dr Campbelltown NSW 2560, Australia",(02) 4610 1887,-34.0756645,150.7959893,https://www.oscarwylee.com.au/locations/locations/optometrist-macarthur-square.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,Active
