name,id,state,city,postal_code,full_address,phone,latitude,longitude,services
Ozmosis Gungahlin,206,ACT,Gungahlin,2912,"Shop H58 & H59 The Marketplace Gungahlin Shopping Centre, 33 Hibberson Street, Gungahlin, ACT, 2912",02 6152 9240,-35.1853422,149.1345058,"Official Ozmosis store, Click & Collect"
Ozmosis Bateau Bay,210,NSW,Bateau Bay,2261,"Shop 088-89 Bateau Bay Square, 12 Bay Village Road, Bateau Bay, NSW, 2261",02 4333 9452,-33.3747254,151.4732646,"Official Ozmosis store, Click & Collect"
Ozmosis Green Hills,201,NSW,East Maitland,2323,"Shop 2014/1 Molly Morgan Drive Stockland Green Hills Shopping Centre, East Maitland, NSW, 2323",,-32.7622124,151.5915485,"Official Ozmosis store, Click & Collect"
Ozmosis Erina Fair,207,NSW,Erina,2250,"Shop KM007 Level 1 Erina Fair Shopping Centre, 620/658 Terrigal Drive, Erina, NSW, 2250",02 4365 4411,-33.4377235,151.391555,"Official Ozmosis store, Click & Collect"
Ozmosis Glendale,202,NSW,Glendale,2285,"Shop 17/387 Lake Road, Glendale, NSW, 2285",02 4954 7389,-32.9365469,151.6429414,"Official Ozmosis store, Click & Collect"
Ozmosis Lake Haven,209,NSW,Lake Haven,2263,"Shop 083 Lake Haven Shopping Centre, Lake Haven Drive, Lake Haven, NSW, 2263",02 4393 1444,-33.2405551,151.5041525,"Official Ozmosis store, Click & Collect"
Ozmosis Salamander,212,NSW,Salamander Bay,2317,"Shop 66 Salamander Bay Square, Salamander Bay, NSW, 2317",02 4216 5336,-32.7345189,152.1070178,"Official Ozmosis store, Click & Collect"
Ozmosis Singleton,211,NSW,Singleton,2330,"Tenancy T09/1 Gowrie St, The Square Shopping Centre, Singleton, NSW, 2330",02 9000 7490,-32.566397,151.1639759,"Official Ozmosis store, Click & Collect"
Ozmosis Deepwater,208,NSW,Woy Woy,2256,"Deepwater Plaza, Shop 45 / 50-54 Railway Street, Woy Woy, NSW, 2256",02 4344 1705,-33.4878177,151.3237056,"Official Ozmosis store, Click & Collect"
Ozmosis Bairnsdale,334,VIC,Bairnsdale,3875,"132A Main Street, Bairnsdale, VIC, 3875",03 4224 5001,-37.8256243,147.631394,"Official Ozmosis store, Click & Collect"
