id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology
3801,Albany Westfield,Active,New Zealand,Auckland,Auckland,0632,"Shop 221, Westfield Albany, 219 Don Mckinnon Dr, Albany, Auckland, 0632",09 447 1465,-36.72871,174.70837,https://www.specsavers.co.nz/stores/albany,Optometry; Audiology,true
3842,Auckland CBD,Active,New Zealand,Auckland,Auckland,1010,"155 Queen St, Auckland Central, Auckland, 1010",09 303 1364,-36.847565,174.76553,https://www.specsavers.co.nz/stores/aucklandcbd,Optometry,false
3827,Botany,Active,New Zealand,Auckland,Auckland,2016,"Shop SP0522 Botany Town Centre, 22 Town Centre Drive, East Tamaki, Auckland, 2016",09 279 8007,-36.931423,174.91295,https://www.specsavers.co.nz/stores/botany,Optometry; Audiology,true
3811,Glenfield Mall,Active,New Zealand,Auckland,Auckland,0629,"Glenfield Mall, Glenfield, Auckland, 0629",09 441 7936,-36.782238,174.72249,https://www.specsavers.co.nz/stores/glenfield,Optometry; Audiology,true
3806,Henderson - WestCity S/C,Active,New Zealand,Auckland,Auckland,0612,"Shop 225, WestCity Waitakere Shopping Centre, 7 Catherine Street, Henderson, Auckland, 0612",09 838 6853,-36.88098,174.63277,https://www.specsavers.co.nz/stores/henderson,Optometry; Audiology,true
3809,Manukau Westfield,Active,New Zealand,Auckland,Auckland,2241,"Shop 1, Level G, Westfield Manukau, Cnr Great South Road &amp; Manukau Station Road, Manukau, Auckland, 2241",09 263 5115,-36.99122,174.8821,https://www.specsavers.co.nz/stores/manukau,Optometry,false
3807,Massey - NorthWest S/C,Active,New Zealand,Auckland,Auckland,0657,"Shop 56, Northwest Shopping Centre, 1/7 Fred Taylor Drive, Massey, Auckland, 0657",09 833 1337,-36.8185,174.61165,https://www.specsavers.co.nz/stores/massey,Optometry; Audiology,true
3865,Mt Roskill,Active,New Zealand,Auckland,Auckland,1041,"The Warehouse, 22 Stoddard Rd, Auckland, 1041",09 620 1101,-36.90764,174.73293,https://www.specsavers.co.nz/stores/mtroskill,Optometry; Audiology,true
3866,Mt Wellington,Active,New Zealand,Auckland,Auckland,1072,"The Warehouse, 87-101 Lunn Avenue, Mt Wellington, Auckland, 1072",09 570 2222,-36.88814,174.8329,https://www.specsavers.co.nz/stores/mtwellington,Optometry; Audiology,true
3849,Newmarket Westfield,Active,New Zealand,Auckland,Auckland,1023,"Shop 353, Westfield, 277 Broadway, Newmarket, Auckland, 1023",09 523 5322,-36.87079,174.77689,https://www.specsavers.co.nz/stores/newmarket,Optometry; Audiology,true
3875,Onehunga,Active,New Zealand,Auckland,Auckland,1061,"178-182 Onehunga Mall, Onehunga, Auckland, 1061",09 634 1437,-36.92307,174.78522,https://www.specsavers.co.nz/stores/onehunga,Optometry; Audiology,true
3828,Papakura,Active,New Zealand,Auckland,Auckland,2110,"172 Great South Rd, Papakura, Auckland, 2110",09 299 7764,-37.062855,174.94263,https://www.specsavers.co.nz/stores/papakura,Optometry; Audiology,true
3814,Pukekohe,Active,New Zealand,Auckland,Auckland,2120,"41 King St, Unit B, Pukekohe, Auckland, 2120",09 238 9906,-37.20085,174.90233,https://www.specsavers.co.nz/stores/pukekohe,Optometry; Audiology,true
3841,Silverdale,Active,New Zealand,Auckland,Auckland,0930,"10/75 Silverdale Street, Shop PR10, Silverdale, Auckland, 0930",09 428 0845,-36.61328,174.68007,https://www.specsavers.co.nz/stores/silverdale,Optometry; Audiology,true
3829,Sylvia Park Mall,Active,New Zealand,Auckland,Auckland,1060,"286 Mount Wellington Highway, Shop S006 Sylvia Park Shopping Centre, Mt Wellington, Auckland, 1060",09 579 4434,-36.917686,174.8413,https://www.specsavers.co.nz/stores/sylviapark,Optometry,false
3802,Takapuna Shore City,Active,New Zealand,Auckland,Auckland,0622,"Shore City, 52 - 56 Anzac Street, Takapuna, Auckland, 0622",09 486 0311,-36.787666,174.77007,https://www.specsavers.co.nz/stores/takapuna,Optometry; Audiology,true
3871,Ormiston,Active,New Zealand,Auckland,Flat Bush,2016,"Ormiston Town Centre, 240 Ormiston Road, Ormiston, Flat Bush, 2016",09 265 2240,-36.964375,174.91454,https://www.specsavers.co.nz/stores/ormiston,Optometry; Audiology,true
3874,Manukau Supa Centa,Active,New Zealand,Auckland,Manukau City Centre,2104,"SPK201, Manukau Supa Centa, Cnr Lambie &amp; Cavendish Drive, Manukau, Manukau City Centre, 2104",09 262 0233,-37.003506,174.87505,https://www.specsavers.co.nz/stores/manukau-supa-centa,Optometry,false
