id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology
3307,Belconnen Westfield,Active,Australia,ACT,Belconnen,2617,"Shop 170/171 Benjamin Way, Belconnen, ACT, 2617",(02) 6251 0415,-35.23779,149.06656,https://www.specsavers.com.au/stores/belconnen,Optometry; Audiology,true
3309,Canberra Centre,Active,Australia,ACT,Canberra,2600,"Shop EG14/15 Canberra Centre Civic, 148 Bunda St, Canberra, ACT, 2600",(02) 6262 9584,-35.27743,149.13133,https://www.specsavers.com.au/stores/canberra,Optometry; Audiology,true
3308,Tuggeranong,Active,Australia,ACT,Greenway,2900,"Shop 106, South Point Shopping Centre, 175 Anketell Street, Greenway, ACT, 2900",(02) 6293 1590,-35.415806,149.06734,https://www.specsavers.com.au/stores/tuggeranong,Optometry; Audiology,true
3583,Gungahlin,Active,Australia,ACT,Gungahlin,2912,"Shop 17-19, 33 Hibberson Street, Gungahlin, ACT, 2912",(02) 6171 7414,-35.185867,149.13376,https://www.specsavers.com.au/stores/gungahlin,Optometry; Audiology,true
3346,Woden Westfield,Active,Australia,ACT,Phillip,2606,"Westfield Woden, Keltie Street, Phillip, ACT, 2606",(02) 6281 1365,-35.346428,149.08653,https://www.specsavers.com.au/stores/woden,Optometry; Audiology,true
3657,Weston Creek,Active,Australia,ACT,Weston Creek,2611,"Shop 007, Cooleman Court, Brierly Street, Weston Creek, ACT, 2611",(02) 6106 9227,-35.34154,149.0528,https://www.specsavers.com.au/stores/westoncreek,Optometry; Audiology,true
3465,Albury,Active,Australia,NSW,Albury,2640,"511-517 Dean St, Shop 2, Albury, NSW, 2640",(02) 6023 5815,-36.081432,146.91747,https://www.specsavers.com.au/stores/albury,Optometry; Audiology,true
3611,Armidale,Active,Australia,NSW,Armidale,2350,"Shop 24, Armidale Central, 225 Beardy Street, Armidale, NSW, 2350",(02) 6362 0901,-30.512236,151.66284,https://www.specsavers.com.au/stores/armidale,Optometry; Audiology,true
3519,Ashfield,Active,Australia,NSW,Ashfield,2131,"Shop 63, Ashfield Mall, 260A Liverpool Road, Ashfield, NSW, 2131",(02) 9011 6988,-33.88912,151.12392,https://www.specsavers.com.au/stores/ashfield,Optometry; Audiology,true
3624,Balgowlah,Active,Australia,NSW,Balgowlah,2093,"Shop 41/42 Balgowlah Shopping Centre, 197-215 Condamine Street, Balgowlah, NSW, 2093",(02) 9907 1169,-33.793247,151.26442,https://www.specsavers.com.au/stores/balgowlah,Optometry; Audiology,true
3296,Ballina,Active,Australia,NSW,Ballina,2478,"155 River St, Ballina, NSW, 2478",(02) 6686 4004,-28.870071,153.55989,https://www.specsavers.com.au/stores/ballina,Optometry; Audiology,true
3383,Bankstown Centro Lvl 1,Active,Australia,NSW,Bankstown,2200,"Shop SP345A, North Terrace, Bankstown, NSW, 2200",(02) 9707 2933,-33.91623,151.039,https://www.specsavers.com.au/stores/bankstown,Optometry; Audiology,true
3622,Bass Hill,Active,Australia,NSW,Bass Hill,2197,"Shop 15-17 Bass Hill Plaza, 753 Hume Highway, Bass Hill, NSW, 2197",(02) 9724 7488,-33.89985,150.9932,https://www.specsavers.com.au/stores/basshill,Optometry; Audiology,true
3523,Bateau Bay,Active,Australia,NSW,Bateau Bay,2261,"Shop 91, Bateau Bay Square, 12 Bay Village Road, Bateau Bay, NSW, 2261",(02) 4333 6650,-33.37356,151.47351,https://www.specsavers.com.au/stores/bateaubay,Optometry,false
3276,Batemans Bay,Active,Australia,NSW,Batemans Bay,2536,"1/30 Orient Street, Batemans Bay, NSW, 2536",(02) 4472 5565,-35.708836,150.17723,https://www.specsavers.com.au/stores/batemansbay,Optometry; Audiology,true
3513,Bathurst,Active,Australia,NSW,Bathurst,2795,"Shop 4 &amp; 5, Bathurst City Centre, 210 Howick Street, Bathurst, NSW, 2795",(02) 6332 6414,-33.41865,149.58176,https://www.specsavers.com.au/stores/bathurst,Optometry; Audiology,true
3633,Baulkham Hills,Active,Australia,NSW,Baulkham Hills,2153,"375-383 Windsor Road, Shop 50/51 Grove Square, Baulkham Hills, NSW, 2153",(02) 9620 6755,-33.759014,150.99103,https://www.specsavers.com.au/stores/baulkhamhills,Optometry; Audiology,true
3589,Bega,Active,Australia,NSW,Bega,2550,"Sapphire Marketplace, Shop T20/106 Auckland Street, Bega, NSW, 2550",(02) 6492 5000,-36.675735,149.8414,https://www.specsavers.com.au/stores/bega,Optometry; Audiology,true
3357,Blacktown Westpoint S/C,Active,Australia,NSW,Blacktown,2148,"Shop 1059, Level 1, Westpoint Shopping Centre, 17 Patrick Street, Blacktown, NSW, 2148",(02) 9621 0033,-33.772507,150.90656,https://www.specsavers.com.au/stores/blacktown,Optometry; Audiology,true
3606,Bondi Junction Eastgate,Active,Australia,NSW,Bondi Junction,2022,"Shop 63, Eastgate Shopping Centre, 71/91 Spring St, Bondi Junction, NSW, 2022",(02) 9060 7844,-33.893154,151.24777,https://www.specsavers.com.au/stores/bondieastgate,Optometry; Audiology,true
3399,Bondi Junction Westfield,Active,Australia,NSW,Bondi Junction,2022,"1031/500 Oxford Street, Bondi Junction, NSW, 2022",(02) 9386 0788,-33.89269,151.25047,https://www.specsavers.com.au/stores/bondijunction,Optometry,false
3612,Bonnyrigg Plaza,Active,Australia,NSW,Bonnyrigg,2177,"Shop 29 Bonnyrigg Plaza, 100 Bonnyrigg Avenue, Bonnyrigg, NSW, 2177",(02) 9060 7800,-33.88623,150.88864,https://www.specsavers.com.au/stores/bonnyrigg,Optometry; Audiology,true
3361,Warringah Mall S/C,Active,Australia,NSW,Brookvale,2100,"SH1164/1165, Warringah Mall, Condamine Street &amp; Old Pittwater Road, Brookvale, NSW, 2100",(02) 9907 1677,-33.76819,151.26483,https://www.specsavers.com.au/stores/warringah,Optometry; Audiology,true
3298,Burwood Westfield,Active,Australia,NSW,Burwood,2134,"100 Burwood Road, Burwood, NSW, 2134",(02) 9744 2900,-33.87459,151.10512,https://www.specsavers.com.au/stores/burwood,Optometry; Audiology,true
3347,Campbelltown,Active,Australia,NSW,Campbelltown,2560,"L15/271 Queen Street, Campbelltown, NSW, 2560",(02) 4628 0757,-34.069263,150.81082,https://www.specsavers.com.au/stores/campbelltown,Optometry; Audiology,true
3348,Macarthur Square,Active,Australia,NSW,Campbelltown,2560,"Shop LO3 U144, 200 Gilchrist Drive, Campbelltown, NSW, 2560",(02) 4628 7544,-34.07498,150.79637,https://www.specsavers.com.au/stores/macarthur,Optometry; Audiology,true
3663,Carlingford,Active,Australia,NSW,Carlingford,2118,"Shop 204, Carlingford Court, Cnr Carlingford Road &amp; Pennant Hill Road, Carlingford, NSW, 2118",(02) 8660 0998,-33.77669,151.05203,https://www.specsavers.com.au/stores/carlingford,Optometry,false
3405,Castle Hill - Castle Towers,Active,Australia,NSW,Castle Hill,2154,"Shop 331 Castle Hill S/C, 6-14 Castle Street, Castle Hill, NSW, 2154",(02) 8850 1334,-33.730434,151.0065,https://www.specsavers.com.au/stores/castlehill,Optometry; Audiology,true
3558,Casula,Active,Australia,NSW,Casula,2170,"Casula Mall, 1 Ingham Dr, Casula, NSW, 2170",(02) 9822 7239,-33.94762,150.90007,https://www.specsavers.com.au/stores/casula,Optometry,false
3382,Cessnock Plaza S/C,Active,Australia,NSW,Cessnock,2325,"Cessnock Plaza Shopping Centre, Shop 2, Cessnock, NSW, 2325",(02) 4990 6299,-32.834255,151.35481,https://www.specsavers.com.au/stores/cessnock,Optometry,false
3329,Charlestown Square,Active,Australia,NSW,Charlestown,2290,"L01, 1024 Charlestown Square, 30 Pearson St, Charlestown, NSW, 2290",(02) 4920 9866,-32.965057,151.6937,https://www.specsavers.com.au/stores/charlestown,Optometry; Audiology,true
3319,Chatswood,Active,Australia,NSW,Chatswood,2067,"Shop A, 398 Victoria Avenue, Chatswood, NSW, 2067",(02) 9411 3390,-33.796463,151.18256,https://www.specsavers.com.au/stores/chatswood,Optometry; Audiology,true
3659,Chatswood Chase,Active,Australia,NSW,Chatswood,2067,"Shop B-022 Chatswood Chase, 345 Victoria Avenue, Chatswood, NSW, 2067",(02) 9411 3390,-33.79449,151.18597,https://www.specsavers.com.au/stores/chatswoodchase,Optometry; Audiology,true
3668,Chullora,Active,Australia,NSW,Chullora,2190,"Shop 39 &amp; 39A, Chullora Marketplace, 355-357 Waterloo Road, Chullora, NSW, 2190",(02) 9791 0585,-33.89335,151.06133,https://www.specsavers.com.au/stores/chullora,Optometry; Audiology,true
3339,Coffs Harbour - Park Beach,Active,Australia,NSW,Coffs Harbour,2450,"Shop 21 Park Beach Plaza, 253 Pacific Hwy, Coffs Harbour, NSW, 2450",(02) 6651 8883,-30.28371,153.13156,https://www.specsavers.com.au/stores/coffsparkbeach,Optometry; Audiology,true
3301,Coffs Harbour City Centre,Active,Australia,NSW,Coffs Harbour,2450,"City Centre Square, Shop 80, Coffs Harbour, NSW, 2450",(02) 6651 4300,-30.29738,153.11536,https://www.specsavers.com.au/stores/coffsharbour,Optometry; Audiology,true
