id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
charlestown-5400,The Optical Company Charlestown,Active,Australia,NSW,Charlestown,5400,"190 Pacific Hwy, Charlestown NSW 5400",(02) 4949 5400,-32.9784850,151.6918345,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
chatswood-2067,The Optical Company Chatswood,Active,Australia,NSW,Chatswood,2067,"Shop 512, Level 5, 1 Anderson Street, Chatswood NSW 2067",(02) 9411 8288,-33.7967377,151.1814306,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
green-hills-2323,The Optical Company Green Hills,Active,Australia,NSW,Green Hills,2323,"Shop 1102, Stockland Green Hills Shopping Centre, 1 Molly Morgan Drive, East Maitland NSW 2323",(02) 4006 3322,-32.7626620,151.5910236,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
murwillumbah-2484,The Optical Company Murwillumbah,Active,Australia,NSW,Murwillumbah,2484,"Shop 5 , The Plaza, 47 Murwillumbah Street, Murwillumbah NSW 2484",(02) 6672 1400,-28.3264457,153.3980254,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
newcastle-2302,The Optical Company Newcastle,Active,Australia,NSW,Newcastle,2302,"Shop 27, 136 Parry Street, Marketown Shopping Centre, Newcastle West NSW 2302",(02) 4907 6850,-32.9272881,151.7812534,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
parramatta-2150,The Optical Company Parramatta,Active,Australia,NSW,Parramatta,2150,"Suite 1, Ground Floor, 80 George Street, Parramatta NSW 2150",(02) 9635 7888,-33.8139843,151.0026660,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
rutherford-2320,The Optical Company Rutherford,Active,Australia,NSW,Rutherford,2320,"West Mall Rutherford S/C, Rutherford NSW 2320",(02) 4044 0570,-32.7130291,151.5258690,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
singleton-2330,The Optical Company Singleton,Active,Australia,NSW,Singleton,2330,"2/106 John St,, Singleton New South Wales 2330",(02) 6571 1121,-32.5652921,151.1671200,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
st-ives-2075,The Optical Company St Ives,Active,Australia,NSW,St Ives,2075,"St Ives Shopping Village Shop 83, 166 Mona Vale Rd, St Ives NSW 2075",(02) 9144 6367,-33.7292063,151.1593960,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
the-galeries-sydney-cbd-2000,The Optical Company The Galeries - Sydney CBD,Active,Australia,NSW,The Galeries - Sydney CBD,2000,"Level 1, 500 George Street, Sydney NSW 2000",(02) 9267 0077,-33.8726424,151.2076076,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
wallsend-2287,The Optical Company Wallsend,Active,Australia,NSW,Wallsend,2287,"Shop 7, 68 Nelson St, Wallsend NSW 2287",(02) 4950 1098,-32.8978865,151.6635660,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
carindale-4152,The Optical Company Carindale,Active,Australia,QLD,Carindale,4152,"Shop 1249 Westfield, 1151 Creek Rd, Carindale QLD 4152",(07) 3395 1299,-27.5017983,153.1022290,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
helensvale-4212,The Optical Company Helensvale,Active,Australia,QLD,Helensvale,4212,"Shop 1036 Westfield, 1-29 Millaroo Drive, Helensvale QLD 4212",(07) 5556 0500,-27.9270328,153.3357587,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
loganholme-4129,The Optical Company Loganholme,Active,Australia,QLD,Loganholme,4129,"Shop 201B Logan Hyperdome, Bryants Rd, Loganholme QLD 4129",(07) 3806 1711,-27.6645864,153.1841880,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
mt-gravatt-4122,The Optical Company Mt Gravatt,Active,Australia,QLD,Mt Gravatt,4122,"Healthia Allied Health Services - SCURRS Centre, Level 2, 1437 Logan Road, Mt Gravatt QLD 4122",(07) 3849 5577,-27.5386205,153.0729340,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
mt-ommaney-4074,The Optical Company Mt Ommaney,Active,Australia,QLD,Mt Ommaney,4074,"SPO76 Mt Ommaney Centre, 171 Dandenong Rd, Mt Ommaney QLD 4074",(07) 3279 4433,-27.5454425,152.9323715,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
robina-4226,The Optical Company Robina,Active,Australia,QLD,Robina,4226,"Shop 4143, Robina Town Centre, Robina Town Centre Drive, Robina QLD 4226",(07) 5575 7855,-28.0773897,153.3852821,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
runaway-bay-4216,The Optical Company Runaway Bay,Active,Australia,QLD,Runaway Bay,4216,"Runaway Bay Centre, Shop 29 (near Big W) 10-12 Lae Drive, Runaway Bay QLD 4216",(07) 5537 3665,-27.9122419,153.4029513,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
melbourne-cbd-3000,The Optical Company Melbourne CBD,Active,Australia,VIC,Melbourne CBD,3000,"96 Elizabeth Street, Melbourne VIC 3000",(03) 9600 4333,-37.8156354,144.9639929,https://www.opticalco.com.au/locations-listing/,,false,https://www.opticalco.com.au/locations-listing/
